Node;Scenario;Year;Parameter;Fuel;Value
BE00;Distributed Energy;2030;Capacity (MW);Gas;8731.0
BE00;Distributed Energy;2030;Capacity (MW);Hydro;1372.0
BE00;Distributed Energy;2030;Capacity (MW);Oil;158.0
BE00;Distributed Energy;2030;Capacity (MW);Other Non RES;819.0
BE00;Distributed Energy;2030;Capacity (MW);Other RES;904.0
BE00;Distributed Energy;2030;Capacity (MW);Solar;5200.0
BE00;Distributed Energy;2030;Capacity (MW);Wind Offshore;4243.0
BE00;Distributed Energy;2030;Capacity (MW);Wind Onshore;3735.0
BE00;Distributed Energy;2040;Capacity (MW);Gas;15018.0
BE00;Distributed Energy;2040;Capacity (MW);Hydro;1375.0
BE00;Distributed Energy;2040;Capacity (MW);Oil;158.0
BE00;Distributed Energy;2040;Capacity (MW);Other Non RES;642.0
BE00;Distributed Energy;2040;Capacity (MW);Other RES;904.0
BE00;Distributed Energy;2040;Capacity (MW);Solar;8200.0
BE00;Distributed Energy;2040;Capacity (MW);Wind Offshore;5987.0
BE00;Distributed Energy;2040;Capacity (MW);Wind Onshore;4825.0
BE00;Global Ambition;2030;Capacity (MW);Gas;8731.0
BE00;Global Ambition;2030;Capacity (MW);Hydro;1372.0
BE00;Global Ambition;2030;Capacity (MW);Oil;158.0
BE00;Global Ambition;2030;Capacity (MW);Other Non RES;819.0
BE00;Global Ambition;2030;Capacity (MW);Other RES;904.0
BE00;Global Ambition;2030;Capacity (MW);Solar;3640.0
BE00;Global Ambition;2030;Capacity (MW);Wind Offshore;5345.0
BE00;Global Ambition;2030;Capacity (MW);Wind Onshore;3735.0
BE00;Global Ambition;2040;Capacity (MW);Gas;8687.0
BE00;Global Ambition;2040;Capacity (MW);Hydro;1375.0
BE00;Global Ambition;2040;Capacity (MW);Oil;158.0
BE00;Global Ambition;2040;Capacity (MW);Other Non RES;642.0
BE00;Global Ambition;2040;Capacity (MW);Other RES;904.0
BE00;Global Ambition;2040;Capacity (MW);Solar;5740.0
BE00;Global Ambition;2040;Capacity (MW);Wind Offshore;5915.0
BE00;Global Ambition;2040;Capacity (MW);Wind Onshore;4825.0
BE00;National Trends;2030;Capacity (MW);Biofuels;354.0
BE00;National Trends;2030;Capacity (MW);Gas;8731.0
BE00;National Trends;2030;Capacity (MW);Hydro;1372.0
BE00;National Trends;2030;Capacity (MW);Oil;158.0
BE00;National Trends;2030;Capacity (MW);Other Non RES;1379.0
BE00;National Trends;2030;Capacity (MW);Other RES;549.0
BE00;National Trends;2030;Capacity (MW);Solar;10400.0
BE00;National Trends;2030;Capacity (MW);Wind Offshore;5800.0
BE00;National Trends;2030;Capacity (MW);Wind Onshore;4669.0
BE00;National Trends;2040;Capacity (MW);Biofuels;354.0
BE00;National Trends;2040;Capacity (MW);Gas;8687.0
BE00;National Trends;2040;Capacity (MW);Hydro;1375.0
BE00;National Trends;2040;Capacity (MW);Oil;158.0
BE00;National Trends;2040;Capacity (MW);Other Non RES;1379.0
BE00;National Trends;2040;Capacity (MW);Other RES;549.0
BE00;National Trends;2040;Capacity (MW);Solar;16400.0
