id,area,capacity_2030,capacity_2040,expand_2030,expand_2040,lat,lon,offshore,cost_scaling,type
BE_main,BE,1000000,0,0,0,50.853361,4.349322,0,1,ac
BE_coast,BE,1000000,0,0,0,51.227000,2.930000,0,1,ac
BE_wind,BE,1000000,0,0,0,51.490910,2.677291,1,1,hvdc
DE_main,DE,1000000,0,0,0,52.243468,9.855328,0,1,ac
DE_coast,DE,1000000,0,0,0,53.855000,8.728000,0,1,ac
DE_wind,DE,1000000,0,0,0,54.426068,7.748603,1,1,hvdc
DK_main,DK,1000000,0,0,0,55.972783,9.397825,0,1,ac
DK_coast_1,DK,1000000,0,0,0,56.663718,8.334969,0,1,ac
DK_coast_2,DK,1000000,0,0,0,55.504608,8.394126,0,1,ac
DK_wind,DK,1000000,0,0,0,55.668699,7.308382,1,1,hvdc
NL_main,NL,1000000,0,0,0,52.051938,5.439308,0,1,ac
NL_coast_1,NL,1000000,0,0,0,53.412270,6.554420,0,1,ac
NL_coast_2,NL,1000000,0,0,0,52.048559,4.203346,0,1,ac
NL_wind_1,NL,1000000,0,0,0,53.791344,5.682405,1,1,hvdc
NL_wind_2,NL,1000000,0,0,0,52.646835,3.573030,1,1,hvdc
NO_main,NO,1000000,0,0,0,60.482496,8.174903,0,1,ac
NO_coast,NO,1000000,0,0,0,58.093373,7.208106,0,1,ac
NO_wind,NO,1000000,0,0,0,57.897964,4.984223,1,1,hvdc
UK_main,UK,1000000,0,0,0,52.800858,-0.991510,0,1,ac
UK_coast_1,UK,1000000,0,0,0,54.994718,-1.425470,0,1,ac
UK_coast_2,UK,1000000,0,0,0,52.473000,1.755000,0,1,ac
UK_wind_1,UK,1000000,0,0,0,55.782527,-0.886919,1,1,hvdc
UK_wind_2,UK,1000000,0,0,0,53.576118,1.150367,1,1,hvdc
PLI,PLI,0,0,1,0,55.208681,3.403627,1,1,pli



