Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;12592.9296875;12134.6015625;13747.5458984375
01/01/2018 01:00;1;1;1;12185.7861328125;11723.013671875;13283.4365234375
01/01/2018 02:00;1;1;2;11886.876953125;11435.107421875;12914.515625
01/01/2018 03:00;1;1;3;11654.806640625;11255.7587890625;12554.0107421875
01/01/2018 04:00;1;1;4;11362.751953125;11075.306640625;12061.673828125
01/01/2018 05:00;1;1;5;11334.3623046875;11149.78515625;12004.22265625
01/01/2018 06:00;1;1;6;11598.0078125;11425.060546875;12390.30859375
01/01/2018 07:00;1;1;7;12112.9111328125;11920.4755859375;12959.740234375
01/01/2018 08:00;1;1;8;12673.912109375;12461.892578125;13561.986328125
01/01/2018 09:00;1;1;9;13016.005859375;12797.861328125;13891.4921875
01/01/2018 10:00;1;1;10;13393.634765625;13162.3603515625;14328.8134765625
01/01/2018 11:00;1;1;11;13334.1875;13105.716796875;14236.53125
01/01/2018 12:00;1;1;12;13082.69921875;12859.4375;13996.69140625
01/01/2018 13:00;1;1;13;12852.669921875;12630.853515625;13752.625
01/01/2018 14:00;1;1;14;12818.7626953125;12601.244140625;13714.9423828125
01/01/2018 15:00;1;1;15;12932.1572265625;12737.73046875;13779.8671875
01/01/2018 16:00;1;1;16;13629.52734375;13494.4736328125;14470.6044921875
01/01/2018 17:00;1;1;17;14094.4912109375;13990.234375;14901.923828125
01/01/2018 18:00;1;1;18;14084.498046875;13959.2177734375;14823.076171875
01/01/2018 19:00;1;1;19;13806.87890625;13614.3193359375;14555.6005859375
01/01/2018 20:00;1;1;20;13386.125;13128.59765625;14144.740234375
01/01/2018 21:00;1;1;21;13515.6474609375;13240.595703125;14392.060546875
01/01/2018 22:00;1;1;22;13514.29296875;13202.0537109375;14541.66015625
01/01/2018 23:00;1;1;23;12974.900390625;12615.759765625;14015.0185546875
02/01/2018 00:00;1;2;0;12225.5986328125;12753.9150390625;13294.205078125
02/01/2018 01:00;1;2;1;11758.681640625;12268.3154296875;12792.453125
02/01/2018 02:00;1;2;2;11447.1787109375;11947.2490234375;12437.3818359375
02/01/2018 03:00;1;2;3;11292.3994140625;11795.1865234375;12197.8720703125
02/01/2018 04:00;1;2;4;11339.51953125;11851.654296875;12101.16015625
02/01/2018 05:00;1;2;5;12027.08203125;12613.9443359375;12738.919921875
02/01/2018 06:00;1;2;6;12765.57421875;13355.9765625;13524.5166015625
02/01/2018 07:00;1;2;7;13234.115234375;13696.365234375;13998.544921875
02/01/2018 08:00;1;2;8;13643.810546875;14002.81640625;14412.84765625
02/01/2018 09:00;1;2;9;13842.373046875;14065.138671875;14569.8271484375
02/01/2018 10:00;1;2;10;14134.56640625;14332.001953125;14885.353515625
02/01/2018 11:00;1;2;11;14007.9853515625;14069.087890625;14681.8701171875
02/01/2018 12:00;1;2;12;13891.8330078125;13951.90234375;14552.45703125
02/01/2018 13:00;1;2;13;13697.232421875;13756.833984375;14342.2587890625
02/01/2018 14:00;1;2;14;13667.693359375;13725.27734375;14302.408203125
02/01/2018 15:00;1;2;15;13736.923828125;13765.66015625;14328.234375
02/01/2018 16:00;1;2;16;14459.5439453125;14548.419921875;15033.6708984375
02/01/2018 17:00;1;2;17;14730.2734375;15112.11328125;15396.84375
02/01/2018 18:00;1;2;18;14331.89453125;14937.9970703125;15090.3994140625
02/01/2018 19:00;1;2;19;13758.8671875;14333.0078125;14558.501953125
02/01/2018 20:00;1;2;20;13176.03515625;13605.546875;13970.048828125
