Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;66643.0625;71384.96875;81791.25
01/01/2018 01:00;1;1;1;62280.0390625;67442.5078125;78140.3046875
01/01/2018 02:00;1;1;2;59242.95703125;64658.0078125;75515.90625
01/01/2018 03:00;1;1;3;57703.4296875;63139.671875;73771.734375
01/01/2018 04:00;1;1;4;57339.8828125;62638.15625;72778.75
01/01/2018 05:00;1;1;5;57681.3203125;62599.25;71609.7890625
01/01/2018 06:00;1;1;6;57563.12109375;61777.171875;69140.625
01/01/2018 07:00;1;1;7;55818.046875;60120.24609375;69156.90625
01/01/2018 08:00;1;1;8;58101.73046875;62267.4453125;72549.71875
01/01/2018 09:00;1;1;9;63397.26953125;66900.0859375;76167.765625
01/01/2018 10:00;1;1;10;69087.75;71702.5390625;78776.7265625
01/01/2018 11:00;1;1;11;73103.8125;75088.5703125;80537.3515625
01/01/2018 12:00;1;1;12;75298.484375;77272.0234375;82541.15625
01/01/2018 13:00;1;1;13;74059.3125;76378.203125;82216.0078125
01/01/2018 14:00;1;1;14;70883.03125;73747.125;80721.09375
01/01/2018 15:00;1;1;15;68692.3984375;71916.9921875;79589.890625
01/01/2018 16:00;1;1;16;78275.6171875;81503.4375;80004.2265625
01/01/2018 17:00;1;1;17;79100.828125;73685.6796875;82534.2578125
01/01/2018 18:00;1;1;18;75371.96875;78865.828125;87839.671875
01/01/2018 19:00;1;1;19;78582.4140625;81563.40625;88559.171875
01/01/2018 20:00;1;1;20;77277.25;80115.5234375;85779.7890625
01/01/2018 21:00;1;1;21;73376.125;76368.640625;81689.765625
01/01/2018 22:00;1;1;22;70913.734375;74270.8984375;80112.84375
01/01/2018 23:00;1;1;23;69403.4375;73457.890625;80660.453125
02/01/2018 00:00;1;2;0;75243.5625;80186.828125;82175.421875
02/01/2018 01:00;1;2;1;70544.46875;75831.6328125;77690.8984375
02/01/2018 02:00;1;2;2;67540.78125;73067.53125;74852.875
02/01/2018 03:00;1;2;3;66040.0625;71704.375;73443.1015625
02/01/2018 04:00;1;2;4;66015.375;71730.625;73439.375
02/01/2018 05:00;1;2;5;66985.3046875;72660.2734375;74265.3046875
02/01/2018 06:00;1;2;6;69156.0625;74775.1171875;76242.0078125
02/01/2018 07:00;1;2;7;75266.984375;80889.25;82640.984375
02/01/2018 08:00;1;2;8;82070.6796875;87510.703125;89652.40625
02/01/2018 09:00;1;2;9;86027.78125;91203.921875;93556.703125
02/01/2018 10:00;1;2;10;88175.984375;93054.671875;95417.828125
02/01/2018 11:00;1;2;11;90200.9140625;94889.1875;97279.5703125
02/01/2018 12:00;1;2;12;91980.84375;96464.671875;98808.0625
02/01/2018 13:00;1;2;13;91260.5625;95727.375;97944.34375
02/01/2018 14:00;1;2;14;89624.6171875;94241.1875;96402.984375
02/01/2018 15:00;1;2;15;87993.2109375;92728.8125;94844.796875
02/01/2018 16:00;1;2;16;87546.1875;92265.9375;94360.5390625
02/01/2018 17:00;1;2;17;89164.234375;93592.7109375;95618.8828125
02/01/2018 18:00;1;2;18;94115.59375;97970.7421875;99911.78125
02/01/2018 19:00;1;2;19;95401.4765625;99223.140625;101181.3125
02/01/2018 20:00;1;2;20;92927.015625;97195.0703125;99296.15625
02/01/2018 21:00;1;2;21;87438.8203125;92227.34375;94395.625
02/01/2018 22:00;1;2;22;83621.671875;88700.484375;90906.6875
02/01/2018 23:00;1;2;23;81102.40625;86165.0234375;88248.28125
03/01/2018 00:00;1;3;0;75078.75;82742.484375;81969.7109375
