Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;3243.5615234375;3171.9453125;3267.30517578125
01/01/2018 01:00;1;1;1;3221.00244140625;3147.8505859375;3241.974853515625
01/01/2018 02:00;1;1;2;3217.56298828125;3141.880859375;3235.9765625
01/01/2018 03:00;1;1;3;3250.7666015625;3168.9248046875;3262.982421875
01/01/2018 04:00;1;1;4;3333.9033203125;3238.9912109375;3330.732421875
01/01/2018 05:00;1;1;5;3498.344482421875;3402.39990234375;3502.89306640625
01/01/2018 06:00;1;1;6;3689.774658203125;3607.359375;3722.420166015625
01/01/2018 07:00;1;1;7;3824.159423828125;3749.087646484375;3864.156494140625
01/01/2018 08:00;1;1;8;3889.380859375;3811.994140625;3914.561767578125
01/01/2018 09:00;1;1;9;3918.98291015625;3844.93359375;3939.765380859375
01/01/2018 10:00;1;1;10;3902.9150390625;3832.962890625;3913.3505859375
01/01/2018 11:00;1;1;11;3866.850830078125;3794.51611328125;3851.52783203125
01/01/2018 12:00;1;1;12;3851.44384765625;3783.58154296875;3830.529052734375
01/01/2018 13:00;1;1;13;3847.62646484375;3782.431640625;3825.627197265625
01/01/2018 14:00;1;1;14;3886.99658203125;3817.881591796875;3860.15380859375
01/01/2018 15:00;1;1;15;4078.94921875;4004.072509765625;4047.3271484375
01/01/2018 16:00;1;1;16;4260.91259765625;4196.748046875;4276.67626953125
01/01/2018 17:00;1;1;17;4163.58642578125;4103.38134765625;4200.115234375
01/01/2018 18:00;1;1;18;3998.44970703125;3937.949951171875;4026.750244140625
01/01/2018 19:00;1;1;19;3825.950927734375;3765.498046875;3841.5322265625
01/01/2018 20:00;1;1;20;3653.497314453125;3596.898193359375;3660.15966796875
01/01/2018 21:00;1;1;21;3487.95458984375;3433.12060546875;3492.548828125
01/01/2018 22:00;1;1;22;3363.1328125;3307.67919921875;3362.04638671875
01/01/2018 23:00;1;1;23;3276.5361328125;3218.48583984375;3267.0439453125
02/01/2018 00:00;1;2;0;3413.8701171875;3336.514892578125;3517.189453125
02/01/2018 01:00;1;2;1;3383.719482421875;3303.885009765625;3479.909423828125
02/01/2018 02:00;1;2;2;3388.0400390625;3302.2841796875;3475.1025390625
02/01/2018 03:00;1;2;3;3453.46240234375;3350.234375;3515.192626953125
02/01/2018 04:00;1;2;4;3666.296875;3520.51708984375;3668.29736328125
02/01/2018 05:00;1;2;5;4137.646484375;3965.7705078125;4137.63525390625
02/01/2018 06:00;1;2;6;4610.55126953125;4447.8232421875;4673.2412109375
02/01/2018 07:00;1;2;7;4793.5244140625;4639.15283203125;4880.1484375
02/01/2018 08:00;1;2;8;4818.4638671875;4656.36669921875;4877.9541015625
02/01/2018 09:00;1;2;9;4853.8642578125;4697.3369140625;4915.99169921875
02/01/2018 10:00;1;2;10;4810.7353515625;4664.92578125;4871.80859375
02/01/2018 11:00;1;2;11;4720.044921875;4571.1591796875;4744.3427734375
02/01/2018 12:00;1;2;12;4691.2646484375;4553.65478515625;4721.5380859375
02/01/2018 13:00;1;2;13;4613.306640625;4485.93603515625;4650.2041015625
02/01/2018 14:00;1;2;14;4548.92919921875;4416.29833984375;4569.31201171875
02/01/2018 15:00;1;2;15;4678.7451171875;4526.4677734375;4670.15771484375
02/01/2018 16:00;1;2;16;4909.2470703125;4774.2451171875;4981.19580078125
02/01/2018 17:00;1;2;17;4802.34423828125;4684.0341796875;4915.6259765625
02/01/2018 18:00;1;2;18;4585.236328125;4476.48046875;4694.50830078125
02/01/2018 19:00;1;2;19;4365.93359375;4267.2080078125;4467.1796875
02/01/2018 20:00;1;2;20;4168.521484375;4087.9560546875;4277.16015625
02/01/2018 21:00;1;2;21;3927.71923828125;3863.4375;4046.0966796875
02/01/2018 22:00;1;2;22;3710.03955078125;3654.498779296875;3823.63232421875
02/01/2018 23:00;1;2;23;3557.1904296875;3503.14794921875;3657.41845703125
