Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;19035.85546875;19317.109375;19627.54296875
01/01/2018 01:00;1;1;1;18770.546875;19032.880859375;19354.32421875
01/01/2018 02:00;1;1;2;18644.818359375;18894.763671875;19223.55078125
01/01/2018 03:00;1;1;3;18537.826171875;18770.79296875;19111.31640625
01/01/2018 04:00;1;1;4;18431.0859375;18626.11328125;19000.62109375
01/01/2018 05:00;1;1;5;18761.236328125;18920.181640625;19342.494140625
01/01/2018 06:00;1;1;6;19813.240234375;19989.3046875;20431.3828125
01/01/2018 07:00;1;1;7;20760.58984375;20973.6484375;21412.7578125
01/01/2018 08:00;1;1;8;21358.693359375;21595.0390625;22034.408203125
01/01/2018 09:00;1;1;9;21582.32421875;21813.98828125;22269.0234375
01/01/2018 10:00;1;1;10;21708.1328125;21939.0859375;22400.1953125
01/01/2018 11:00;1;1;11;21607.994140625;21822.072265625;22296.21875
01/01/2018 12:00;1;1;12;21582.53515625;21790.9921875;22268.59375
01/01/2018 13:00;1;1;13;21548.142578125;21764.484375;22227.6015625
01/01/2018 14:00;1;1;14;21610.220703125;21858.4765625;22281.146484375
01/01/2018 15:00;1;1;15;21950.396484375;22270.185546875;22618.005859375
01/01/2018 16:00;1;1;16;22786.72265625;23216.09765625;23468.34765625
01/01/2018 17:00;1;1;17;22538.47265625;23001.96875;23203.451171875
01/01/2018 18:00;1;1;18;22184.626953125;22660.14453125;22831.1328125
01/01/2018 19:00;1;1;19;21746.4296875;22208.513671875;22380.19921875
01/01/2018 20:00;1;1;20;21228.2265625;21659.1484375;21851.37890625
01/01/2018 21:00;1;1;21;20562.830078125;20946.703125;21171.703125
01/01/2018 22:00;1;1;22;19900.3828125;20242.4921875;20496.53515625
01/01/2018 23:00;1;1;23;19388.4140625;19698.37109375;19971.8515625
02/01/2018 00:00;1;2;0;19276.728515625;19465.263671875;19370.8671875
02/01/2018 01:00;1;2;1;18994.1171875;19170.64453125;19081.376953125
02/01/2018 02:00;1;2;2;18891.728515625;19068.84375;18985.662109375
02/01/2018 03:00;1;2;3;18930.462890625;19130.884765625;19063.34765625
02/01/2018 04:00;1;2;4;19279.671875;19553.0;19527.544921875
02/01/2018 05:00;1;2;5;20323.326171875;20693.15625;20722.955078125
02/01/2018 06:00;1;2;6;21855.48828125;22292.89453125;22342.75
02/01/2018 07:00;1;2;7;22958.00390625;23412.697265625;23456.44140625
02/01/2018 08:00;1;2;8;23554.130859375;23988.52734375;24020.609375
02/01/2018 09:00;1;2;9;23795.193359375;24199.98046875;24231.82421875
02/01/2018 10:00;1;2;10;23890.20703125;24265.15625;24293.62109375
02/01/2018 11:00;1;2;11;23852.76171875;24213.587890625;24250.1796875
02/01/2018 12:00;1;2;12;23867.001953125;24221.904296875;24262.4296875
02/01/2018 13:00;1;2;13;23844.65625;24206.9296875;24246.98828125
02/01/2018 14:00;1;2;14;23899.68359375;24291.12890625;24324.44140625
02/01/2018 15:00;1;2;15;24229.9453125;24675.73828125;24691.59375
02/01/2018 16:00;1;2;16;24870.61328125;25338.552734375;25310.818359375
02/01/2018 17:00;1;2;17;24403.640625;24889.9375;24844.359375
02/01/2018 18:00;1;2;18;23834.671875;24329.68359375;24271.060546875
02/01/2018 19:00;1;2;19;23150.05859375;23615.37109375;23547.72265625
02/01/2018 20:00;1;2;20;22340.1328125;22746.765625;22670.03125
02/01/2018 21:00;1;2;21;21413.703125;21752.267578125;21672.728515625
02/01/2018 22:00;1;2;22;20479.09765625;20749.94921875;20664.060546875
02/01/2018 23:00;1;2;23;19778.15625;20000.767578125;19912.21875
03/01/2018 00:00;1;3;0;19307.685546875;19251.142578125;19777.98046875
03/01/2018 01:00;1;3;1;19028.51953125;18954.994140625;19451.88671875
03/01/2018 02:00;1;3;2;18940.1640625;18847.904296875;19326.919921875
03/01/2018 03:00;1;3;3;19028.4375;18896.6171875;19350.734375
03/01/2018 04:00;1;3;4;19510.1171875;19287.978515625;19686.359375
03/01/2018 05:00;1;3;5;20702.36328125;20400.1328125;20752.619140625
03/01/2018 06:00;1;3;6;22271.48828125;22010.765625;22402.80859375
03/01/2018 07:00;1;3;7;23331.01953125;23165.51171875;23621.05078125
03/01/2018 08:00;1;3;8;23846.79296875;23797.2109375;24292.27734375
03/01/2018 09:00;1;3;9;24025.90234375;24064.87890625;24556.21484375
03/01/2018 10:00;1;3;10;24064.68359375;24175.51953125;24665.94921875
03/01/2018 11:00;1;3;11;24016.84375;24150.49609375;24615.72265625
03/01/2018 12:00;1;3;12;24025.953125;24172.79296875;24628.64453125
03/01/2018 13:00;1;3;13;24018.79296875;24147.65625;24611.712890625
03/01/2018 14:00;1;3;14;24115.7421875;24189.587890625;24693.56640625
03/01/2018 15:00;1;3;15;24504.2265625;24505.96484375;25102.68359375
03/01/2018 16:00;1;3;16;25106.892578125;25142.23828125;25891.9921875
03/01/2018 17:00;1;3;17;24680.41015625;24623.85546875;25412.578125
03/01/2018 18:00;1;3;18;24143.703125;24005.005859375;24805.33203125
03/01/2018 19:00;1;3;19;23438.6953125;23280.20703125;24057.990234375
03/01/2018 20:00;1;3;20;22568.33984375;22435.07421875;23166.8359375
03/01/2018 21:00;1;3;21;21579.2578125;21477.10546875;22139.44140625
03/01/2018 22:00;1;3;22;20577.591796875;20512.16796875;21110.041015625
03/01/2018 23:00;1;3;23;19835.626953125;19785.853515625;20335.00390625
04/01/2018 00:00;1;4;0;19507.2734375;19266.28125;19079.845703125
04/01/2018 01:00;1;4;1;19206.455078125;18970.9765625;18775.23828125
04/01/2018 02:00;1;4;2;19105.705078125;18859.482421875;18658.189453125
04/01/2018 03:00;1;4;3;19180.72265625;18894.3359375;18679.8515625
04/01/2018 04:00;1;4;4;19639.35546875;19245.759765625;19005.97265625
04/01/2018 05:00;1;4;5;20828.0625;20291.3984375;20057.59375
04/01/2018 06:00;1;4;6;22450.759765625;21839.818359375;21690.572265625
04/01/2018 07:00;1;4;7;23568.697265625;22974.328125;22902.03515625
04/01/2018 08:00;1;4;8;24121.26171875;23615.630859375;23599.521484375
04/01/2018 09:00;1;4;9;24307.296875;23901.56640625;23912.87890625
04/01/2018 10:00;1;4;10;24348.05078125;24036.876953125;24059.333984375
04/01/2018 11:00;1;4;11;24288.203125;24034.275390625;24037.42578125
04/01/2018 12:00;1;4;12;24293.265625;24071.35546875;24060.92578125
04/01/2018 13:00;1;4;13;24289.765625;24061.28125;24020.111328125
04/01/2018 14:00;1;4;14;24405.92578125;24114.404296875;24027.30859375
04/01/2018 15:00;1;4;15;24846.4140625;24445.2265625;24298.978515625
04/01/2018 16:00;1;4;16;25540.431640625;25118.00390625;24955.83984375
04/01/2018 17:00;1;4;17;25120.87109375;24601.3046875;24393.84375
04/01/2018 18:00;1;4;18;24576.498046875;23968.240234375;23740.625
04/01/2018 19:00;1;4;19;23845.3828125;23239.9140625;23016.671875
04/01/2018 20:00;1;4;20;22935.1953125;22399.47265625;22198.00390625
04/01/2018 21:00;1;4;21;21892.36328125;21456.12890625;21265.255859375
04/01/2018 22:00;1;4;22;20841.279296875;20506.77734375;20327.314453125
04/01/2018 23:00;1;4;23;20060.171875;19796.830078125;19613.1171875
05/01/2018 00:00;1;5;0;19597.998046875;19144.45703125;19434.85546875
05/01/2018 01:00;1;5;1;19297.265625;18874.73046875;19155.48046875
05/01/2018 02:00;1;5;2;19197.982421875;18777.36328125;19070.1953125
05/01/2018 03:00;1;5;3;19278.78515625;18818.01171875;19172.654296875
05/01/2018 04:00;1;5;4;19753.60546875;19159.36328125;19706.044921875
05/01/2018 05:00;1;5;5;20963.6796875;20148.703125;20996.73828125
05/01/2018 06:00;1;5;6;22595.140625;21617.3671875;22660.03125
05/01/2018 07:00;1;5;7;23711.44140625;22675.90234375;23768.12109375
05/01/2018 08:00;1;5;8;24257.943359375;23258.40234375;24310.71875
05/01/2018 09:00;1;5;9;24440.03125;23508.30859375;24514.31640625
05/01/2018 10:00;1;5;10;24477.1328125;23614.86328125;24562.212890625
05/01/2018 11:00;1;5;11;24418.05859375;23595.21875;24522.78125
05/01/2018 12:00;1;5;12;24424.17578125;23617.84765625;24535.05859375
05/01/2018 13:00;1;5;13;24421.826171875;23596.310546875;24513.09375
05/01/2018 14:00;1;5;14;24540.83984375;23635.8828125;24575.8515625
05/01/2018 15:00;1;5;15;24984.41796875;23926.4921875;24910.39453125
05/01/2018 16:00;1;5;16;25671.99609375;24516.78125;25450.76953125
05/01/2018 17:00;1;5;17;25250.93359375;24040.3125;24958.06640625
05/01/2018 18:00;1;5;18;24704.052734375;23468.6171875;24373.345703125
05/01/2018 19:00;1;5;19;23966.99609375;22803.8359375;23640.43359375
05/01/2018 20:00;1;5;20;23048.13671875;22030.693359375;22753.109375
05/01/2018 21:00;1;5;21;21997.392578125;21155.12109375;21752.4609375
05/01/2018 22:00;1;5;22;20937.748046875;20282.447265625;20737.22265625
05/01/2018 23:00;1;5;23;20151.77734375;19628.904296875;19981.12890625
06/01/2018 00:00;1;6;0;20304.46875;19266.5703125;20803.18359375
06/01/2018 01:00;1;6;1;20002.458984375;18994.662109375;20519.9140625
06/01/2018 02:00;1;6;2;19862.408203125;18873.921875;20405.021484375
06/01/2018 03:00;1;6;3;19815.453125;18830.88671875;20398.76953125
06/01/2018 04:00;1;6;4;19962.654296875;18958.01171875;20633.20703125
06/01/2018 05:00;1;6;5;20764.728515625;19677.69140625;21512.376953125
06/01/2018 06:00;1;6;6;22264.69921875;21031.24609375;22977.833984375
06/01/2018 07:00;1;6;7;23448.26953125;22072.11328125;24043.5234375
06/01/2018 08:00;1;6;8;24168.94921875;22644.662109375;24568.5703125
06/01/2018 09:00;1;6;9;24479.7265625;22820.15625;24672.34375
06/01/2018 10:00;1;6;10;24636.94921875;22872.21875;24653.130859375
06/01/2018 11:00;1;6;11;24583.5703125;22739.53125;24477.48828125
06/01/2018 12:00;1;6;12;24588.0;22695.97265625;24411.62890625
06/01/2018 13:00;1;6;13;24536.712890625;22643.3828125;24367.8828125
06/01/2018 14:00;1;6;14;24532.55078125;22695.30078125;24478.232421875
06/01/2018 15:00;1;6;15;24806.07421875;23044.83984375;24937.1796875
06/01/2018 16:00;1;6;16;25543.2578125;23775.322265625;25718.64453125
06/01/2018 17:00;1;6;17;25053.125;23475.80078125;25476.46875
06/01/2018 18:00;1;6;18;24481.41796875;23099.62109375;25141.75
06/01/2018 19:00;1;6;19;23837.75;22573.12890625;24580.27734375
06/01/2018 20:00;1;6;20;23113.693359375;21917.5703125;23831.845703125
06/01/2018 21:00;1;6;21;22262.3984375;21102.841796875;22898.19140625
06/01/2018 22:00;1;6;22;21435.1015625;20311.90234375;21984.01953125
06/01/2018 23:00;1;6;23;20779.05078125;19683.63671875;21268.146484375
07/01/2018 00:00;1;7;0;20107.123046875;18974.974609375;20055.59375
07/01/2018 01:00;1;7;1;19789.6484375;18680.91796875;19719.9140625
07/01/2018 02:00;1;7;2;19617.537109375;18524.291015625;19536.32421875
07/01/2018 03:00;1;7;3;19496.046875;18426.533203125;19396.19140625
07/01/2018 04:00;1;7;4;19362.447265625;18346.07421875;19220.6484375
07/01/2018 05:00;1;7;5;19577.06640625;18607.38671875;19392.771484375
07/01/2018 06:00;1;7;6;20466.24609375;19457.669921875;20286.90625
07/01/2018 07:00;1;7;7;21381.103515625;20303.0;21215.529296875
07/01/2018 08:00;1;7;8;22067.5390625;20925.60546875;21884.45703125
07/01/2018 09:00;1;7;9;22417.4609375;21243.796875;22183.671875
07/01/2018 10:00;1;7;10;22694.9609375;21492.1484375;22419.39453125
07/01/2018 11:00;1;7;11;22768.970703125;21566.748046875;22442.15625
07/01/2018 12:00;1;7;12;22863.240234375;21657.74609375;22509.8671875
07/01/2018 13:00;1;7;13;22951.796875;21742.7734375;22601.169921875
07/01/2018 14:00;1;7;14;23120.14453125;21900.47265625;22816.28515625
07/01/2018 15:00;1;7;15;23633.125;22378.140625;23428.5390625
07/01/2018 16:00;1;7;16;24727.6875;23372.697265625;24639.314453125
07/01/2018 17:00;1;7;17;24415.5078125;23072.470703125;24416.33203125
07/01/2018 18:00;1;7;18;23874.94921875;22559.1640625;23947.765625
07/01/2018 19:00;1;7;19;23263.8828125;21975.904296875;23352.9609375
07/01/2018 20:00;1;7;20;22584.625;21324.56640625;22654.56640625
07/01/2018 21:00;1;7;21;21827.140625;20603.98046875;21844.0859375
07/01/2018 22:00;1;7;22;21101.765625;19910.072265625;21068.748046875
07/01/2018 23:00;1;7;23;20564.455078125;19399.0078125;20492.73046875
08/01/2018 00:00;1;8;0;19901.525390625;19380.12890625;20005.185546875
