Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;14661.2734375;14131.3271484375;14854.8251953125
01/01/2018 01:00;1;1;1;14485.5166015625;13971.4951171875;14702.7451171875
01/01/2018 02:00;1;1;2;14385.3798828125;13874.8916015625;14630.7119140625
01/01/2018 03:00;1;1;3;14353.388671875;13857.3818359375;14612.80078125
01/01/2018 04:00;1;1;4;14343.97265625;13936.8984375;14578.9541015625
01/01/2018 05:00;1;1;5;14575.48828125;14250.771484375;14790.8095703125
01/01/2018 06:00;1;1;6;15110.1845703125;14762.5791015625;15319.7548828125
01/01/2018 07:00;1;1;7;15694.986328125;15268.2041015625;15861.62109375
01/01/2018 08:00;1;1;8;16347.88671875;15828.6171875;16458.05078125
01/01/2018 09:00;1;1;9;17098.7734375;16499.115234375;17152.25
01/01/2018 10:00;1;1;10;17603.658203125;16977.078125;17602.904296875
01/01/2018 11:00;1;1;11;17795.541015625;17161.5234375;17759.322265625
01/01/2018 12:00;1;1;12;17866.43359375;17216.953125;17812.85546875
01/01/2018 13:00;1;1;13;17979.05078125;17286.162109375;17931.33203125
01/01/2018 14:00;1;1;14;18225.54296875;17460.951171875;18187.728515625
01/01/2018 15:00;1;1;15;18577.583984375;17695.5078125;18578.78515625
01/01/2018 16:00;1;1;16;18548.724609375;17572.033203125;18640.44140625
01/01/2018 17:00;1;1;17;18051.755859375;17016.4609375;18270.27734375
01/01/2018 18:00;1;1;18;17434.263671875;16377.630859375;17757.458984375
01/01/2018 19:00;1;1;19;16987.337890625;15947.3271484375;17353.322265625
01/01/2018 20:00;1;1;20;16639.02734375;15639.544921875;17006.13671875
01/01/2018 21:00;1;1;21;16187.00390625;15252.6015625;16539.3359375
01/01/2018 22:00;1;1;22;15685.3291015625;14809.330078125;16035.76953125
01/01/2018 23:00;1;1;23;15279.857421875;14444.560546875;15643.0283203125
02/01/2018 00:00;1;2;0;14830.6689453125;13746.919921875;15498.7734375
02/01/2018 01:00;1;2;1;14676.603515625;13582.4345703125;15334.345703125
02/01/2018 02:00;1;2;2;14670.4287109375;13548.244140625;15301.8046875
02/01/2018 03:00;1;2;3;14814.5439453125;13692.046875;15459.537109375
02/01/2018 04:00;1;2;4;15279.9990234375;14255.78515625;16099.8134765625
02/01/2018 05:00;1;2;5;16487.65625;15467.4599609375;17464.439453125
02/01/2018 06:00;1;2;6;17916.673828125;16737.2109375;18874.3828125
02/01/2018 07:00;1;2;7;18550.14453125;17328.951171875;19477.19921875
02/01/2018 08:00;1;2;8;18839.84375;17663.556640625;19748.447265625
02/01/2018 09:00;1;2;9;19161.9296875;18050.71875;20063.361328125
02/01/2018 10:00;1;2;10;19272.283203125;18262.935546875;20220.5546875
02/01/2018 11:00;1;2;11;19180.90625;18247.84375;20165.736328125
02/01/2018 12:00;1;2;12;19026.8671875;18143.13671875;20016.888671875
02/01/2018 13:00;1;2;13;18980.294921875;18090.2421875;19916.775390625
02/01/2018 14:00;1;2;14;19077.486328125;18160.568359375;19929.859375
02/01/2018 15:00;1;2;15;19376.421875;18348.6328125;20049.5
02/01/2018 16:00;1;2;16;19491.857421875;18281.16015625;19928.828125
02/01/2018 17:00;1;2;17;19276.037109375;17848.587890625;19458.396484375
02/01/2018 18:00;1;2;18;18861.794921875;17275.580078125;18860.865234375
02/01/2018 19:00;1;2;19;18386.421875;16762.201171875;18334.42578125
02/01/2018 20:00;1;2;20;17864.498046875;16261.4873046875;17840.607421875
02/01/2018 21:00;1;2;21;17101.794921875;15561.5615234375;17150.662109375
02/01/2018 22:00;1;2;22;16217.1748046875;14750.7021484375;16321.654296875
02/01/2018 23:00;1;2;23;15565.470703125;14139.2978515625;15688.470703125
03/01/2018 00:00;1;3;0;15561.279296875;13916.92578125;14869.265625
03/01/2018 01:00;1;3;1;15380.52734375;13741.556640625;14736.9208984375
03/01/2018 02:00;1;3;2;15352.8779296875;13707.4169921875;14731.5302734375
03/01/2018 03:00;1;3;3;15485.9287109375;13863.314453125;14875.947265625
03/01/2018 04:00;1;3;4;15957.6298828125;14460.1689453125;15387.2529296875
03/01/2018 05:00;1;3;5;17220.5234375;15734.51171875;16608.8203125
03/01/2018 06:00;1;3;6;18756.29296875;17062.1328125;17970.1640625
03/01/2018 07:00;1;3;7;19475.1328125;17690.14453125;18505.982421875
03/01/2018 08:00;1;3;8;19819.974609375;18055.52734375;18687.578125
03/01/2018 09:00;1;3;9;20185.583984375;18465.896484375;18918.970703125
03/01/2018 10:00;1;3;10;20316.361328125;18682.587890625;19003.248046875
03/01/2018 11:00;1;3;11;20218.775390625;18663.595703125;18910.6015625
03/01/2018 12:00;1;3;12;20048.900390625;18559.658203125;18742.689453125
03/01/2018 13:00;1;3;13;19999.060546875;18516.19921875;18649.478515625
03/01/2018 14:00;1;3;14;20105.763671875;18610.490234375;18661.212890625
03/01/2018 15:00;1;3;15;20414.99609375;18837.74609375;18817.453125
03/01/2018 16:00;1;3;16;20488.14453125;18793.92578125;18819.423828125
03/01/2018 17:00;1;3;17;20189.810546875;18366.046875;18535.072265625
03/01/2018 18:00;1;3;18;19692.873046875;17781.548828125;18102.08203125
03/01/2018 19:00;1;3;19;19162.005859375;17241.3203125;17661.875
03/01/2018 20:00;1;3;20;18613.5;16696.236328125;17219.376953125
03/01/2018 21:00;1;3;21;17823.056640625;15931.2744140625;16580.203125
03/01/2018 22:00;1;3;22;16892.341796875;15056.1962890625;15814.6005859375
03/01/2018 23:00;1;3;23;16192.517578125;14399.1708984375;15245.4755859375
04/01/2018 00:00;1;4;0;16276.7548828125;14409.091796875;15316.2890625
04/01/2018 01:00;1;4;1;16121.31640625;14240.0224609375;15130.095703125
04/01/2018 02:00;1;4;2;16083.216796875;14207.0205078125;15106.376953125
04/01/2018 03:00;1;4;3;16261.892578125;14353.201171875;15270.900390625
04/01/2018 04:00;1;4;4;17043.515625;14916.234375;15851.7578125
04/01/2018 05:00;1;4;5;18541.775390625;16153.896484375;17238.419921875
04/01/2018 06:00;1;4;6;19939.861328125;17472.36328125;18799.3984375
04/01/2018 07:00;1;4;7;20477.916015625;18086.130859375;19512.837890625
