Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;47177.87109375;41699.6484375;48361.30859375
01/01/2018 01:00;1;1;1;46078.2734375;40488.3671875;47112.95703125
01/01/2018 02:00;1;1;2;44452.15625;38735.484375;45397.125
01/01/2018 03:00;1;1;3;42877.96875;37159.55078125;43811.328125
01/01/2018 04:00;1;1;4;41671.8046875;35851.14453125;42642.5078125
01/01/2018 05:00;1;1;5;41582.03125;35707.2109375;42875.03515625
01/01/2018 06:00;1;1;6;43109.94921875;37676.57421875;44777.23046875
01/01/2018 07:00;1;1;7;45886.8203125;41104.7421875;47719.234375
01/01/2018 08:00;1;1;8;50369.03125;45410.671875;52285.62890625
01/01/2018 09:00;1;1;9;54790.8046875;49849.953125;56987.3046875
01/01/2018 10:00;1;1;10;57598.28125;52541.2265625;60053.25390625
01/01/2018 11:00;1;1;11;59135.8359375;54184.15625;61820.2734375
01/01/2018 12:00;1;1;12;59806.5234375;55078.19921875;62671.484375
01/01/2018 13:00;1;1;13;59487.1796875;54857.296875;62417.3046875
01/01/2018 14:00;1;1;14;58896.171875;54436.875;61891.7109375
01/01/2018 15:00;1;1;15;59608.18359375;55282.36328125;62721.09765625
01/01/2018 16:00;1;1;16;61931.8515625;58127.4609375;65162.4296875
01/01/2018 17:00;1;1;17;64433.7421875;59907.31640625;67063.609375
01/01/2018 18:00;1;1;18;65402.671875;59008.78125;66999.3515625
01/01/2018 19:00;1;1;19;64196.0703125;56318.77734375;65006.796875
01/01/2018 20:00;1;1;20;60723.1328125;52690.6171875;61434.20703125
01/01/2018 21:00;1;1;21;56814.640625;49354.40234375;57683.703125
01/01/2018 22:00;1;1;22;52191.5546875;45409.1171875;53128.86328125
01/01/2018 23:00;1;1;23;48145.03125;42095.2421875;49300.828125
02/01/2018 00:00;1;2;0;44574.17578125;43674.8125;46128.6640625
02/01/2018 01:00;1;2;1;43103.8828125;42437.8125;44935.03125
02/01/2018 02:00;1;2;2;41510.078125;40737.1171875;43275.0546875
02/01/2018 03:00;1;2;3;40014.609375;39319.5234375;41783.05859375
02/01/2018 04:00;1;2;4;39035.04296875;38453.59765625;40787.515625
02/01/2018 05:00;1;2;5;40466.55078125;39855.40234375;41835.63671875
02/01/2018 06:00;1;2;6;44697.6953125;44073.81640625;45728.29296875
02/01/2018 07:00;1;2;7;50048.70703125;48816.54296875;50715.65234375
02/01/2018 08:00;1;2;8;54766.00390625;52654.28515625;55162.64453125
02/01/2018 09:00;1;2;9;58272.375;56003.28125;58768.0078125
02/01/2018 10:00;1;2;10;60279.84375;57842.953125;60774.7578125
02/01/2018 11:00;1;2;11;61390.921875;59038.59375;61871.28515625
02/01/2018 12:00;1;2;12;61823.2265625;59566.3359375;62196.78125
02/01/2018 13:00;1;2;13;61518.984375;59218.734375;61630.73828125
02/01/2018 14:00;1;2;14;61157.765625;58898.65234375;60976.19140625
02/01/2018 15:00;1;2;15;62310.5703125;60096.54296875;61714.57421875
