const,demand_UK,demand_DE,demand_NO,demand_DK,demand_NL,demand_BE,wind_UK,wind_DE,wind_NO,wind_DK,wind_NL,wind_BE,inflow_hydro,solar_UK,solar_DE,solar_NO,solar_DK,solar_NL,solar_BE,fuel_bio,fuel_gas,fuel_hard_coal,fuel_hydro,fuel_lignite,fuel_nuclear,fuel_oil,fuel_solar,fuel_onshore_wind,fuel_wind,fuel_other_non_res,fuel_other_res
1,0.811823,0.630069,0.585944,0.310319,0.689429,0.670337,0.0879,0.2718,0.6485,0.1888,0.1457,0.0275,0.7833,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.494922,0.815893,0.612022,0.455569,0.807257,0.69225,0.1196,0.4528,0.0244,0.0444,0.4061,0.0041,1.0,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.803668,0.835865,0.554074,0.382915,0.878643,0.72558,0.7901,0.3299,0.0244,0.0379,0.24,0.3394,1.0,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.910193,0.954362,0.565168,0.327466,0.89324,0.653617,0.941,0.0473,0.3277,0.113,0.1046,0.3378,0.9678,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.541189,0.802621,0.442887,0.359259,0.744548,0.750686,0.9723,0.059,0.6303,0.4031,0.1307,0.2659,0.8573,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.951731,0.706004,0.595974,0.482771,0.702936,0.785693,0.981,0.3353,0.826,0.4669,0.1307,0.2909,0.8174,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.874584,0.609087,0.542325,0.43697,0.724723,0.770543,0.1651,0.5807,0.826,0.7795,0.2399,0.7417,0.8174,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.647898,0.944034,0.520096,0.413081,0.712958,0.830494,0.1492,0.8375,0.8492,0.738,0.2383,0.0044,0.8766,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.724347,0.790753,0.502247,0.342462,0.832819,0.806146,0.1313,0.8137,0.825,0.1982,0.2308,0.1159,0.6858,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.6819,0.93599,0.453633,0.470565,0.785761,0.919772,0.2301,0.0015,0.1703,0.1145,0.1257,0.0585,0.9587,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.600419,0.735637,0.535529,0.399306,0.983944,0.943362,0.1382,0.0462,0.6773,0.3122,0.0761,0.0649,0.793,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.560449,0.756088,0.510045,0.454814,0.96902,0.978154,0.1866,0.0891,0.2796,0.7931,0.0575,0.0674,0.867,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.818976,0.846228,0.528549,0.307762,0.908273,0.896884,0.2018,0.0891,0.1816,0.2097,0.3847,0.2173,0.8288,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.885162,0.82546,0.473979,0.499859,0.818005,0.698202,0.0342,0.0949,0.4351,0.1505,0.4193,0.6039,0.7668,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.82584,0.654345,0.465095,0.382857,0.851229,0.872103,0.3495,0.4335,0.9862,0.0241,0.7247,0.5267,0.8811,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.515881,0.688625,0.482248,0.489048,0.863357,0.855979,0.8154,0.6229,0.9832,0.3445,0.7442,0.0813,0.6622,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.894832,0.926646,0.491193,0.363851,0.951628,0.8365,0.2364,0.6458,0.7424,0.7541,0.5523,0.4066,0.7883,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.586283,0.778781,0.373906,0.326652,0.764991,0.78499,0.2364,0.738,0.7166,0.7541,0.0271,0.2931,0.7177,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.747309,0.902695,0.39458,0.47411,0.923196,0.603027,0.6263,0.7914,0.7831,0.7541,0.0368,0.6391,0.8777,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.57361,0.71617,0.415479,0.427438,0.712486,0.628241,0.7613,0.3878,0.0612,0.7574,0.3643,0.8608,0.8479,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.6235,0.637,0.607744,0.345833,0.685253,0.723091,0.6844,0.1508,0.5431,0.5945,0.3643,0.672,0.8811,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.63508,0.918705,0.574563,0.446793,0.935578,0.682402,0.4002,0.1789,0.9794,0.5412,0.7794,0.3573,0.9474,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.611801,0.911483,0.406186,0.4032,0.732021,0.647179,0.9554,0.6903,0.9869,0.2796,0.6703,0.1829,0.968,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.529991,0.726395,0.429009,0.507124,0.801701,0.663573,0.9877,0.7307,0.9885,0.6069,0.6678,0.2686,0.766,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.550542,0.661045,0.587438,0.489339,0.698724,0.763888,0.988,0.2942,0.9886,0.5956,0.2169,0.4548,0.7665,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.79413,0.677877,0.503495,0.463532,0.827809,0.818807,0.5152,0.3727,0.9896,0.1058,0.6279,0.4548,0.6002,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.783538,0.856932,0.436132,0.341764,0.788303,0.74376,0.7733,0.369,0.9371,0.0485,0.2202,0.5327,0.9526,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.772195,0.669662,0.445896,0.357167,0.912158,0.703072,0.6462,0.3149,0.717,0.0359,0.6097,0.3252,0.8269,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.75997,0.767375,0.545211,0.386635,0.879987,0.850135,0.447,0.4302,0.9157,0.203,0.0246,0.3562,0.845,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.846813,0.647928,0.514405,0.418487,0.897307,0.786559,0.5415,0.1653,0.737,0.2309,0.1064,0.0782,0.8868,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.837802,0.700194,0.562405,0.479981,0.708129,0.833633,0.6438,0.2037,0.306,0.2131,0.1379,0.1438,0.5824,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.857313,0.590305,0.453285,0.373964,0.924939,0.870534,0.6186,0.0715,0.3039,0.1746,0.275,0.2535,0.4828,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.669583,0.621829,0.553767,0.496372,0.739864,0.895369,0.6844,0.0109,0.4713,0.2129,0.2426,0.6417,0.4872,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.866007,0.810639,0.46702,0.442201,0.862667,0.713839,0.0902,0.0292,0.5794,0.2101,0.4787,0.6754,0.7382,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.705508,0.745195,0.531722,0.522062,0.84502,0.731532,0.9356,0.1237,0.8173,0.6739,0.4977,0.7588,0.797,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.965036,0.890108,0.5238,0.507938,0.76924,0.804415,0.7669,0.3068,0.7825,0.2378,0.7175,0.7183,0.6605,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.592449,0.602404,0.538006,0.397795,0.940517,0.856087,0.7336,0.2793,0.7585,0.0707,0.6865,0.0818,0.8187,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.925949,0.865412,0.482392,0.427612,0.717679,0.753067,0.594,0.4721,0.5384,0.0333,0.8307,0.2361,0.9443,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.694363,0.874714,0.489167,0.35705,0.810924,0.677857,0.1086,0.4719,0.2581,0.2418,0.0061,0.333,0.9145,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
1,0.652061,0.883254,0.473836,0.368559,0.795129,0.769894,0.1046,0.9017,0.2414,0.1417,0.1487,0.4021,0.8764,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,41.34853835,20.26284093,20,18.5142709,4.834281847,95.58939721,0,0,0,100,0
