Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;62374.60546875;66799.265625;76505.84375
01/01/2018 01:00;1;1;1;58295.4609375;63112.87109375;73092.3671875
01/01/2018 02:00;1;1;2;55497.82421875;60552.515625;70682.734375
01/01/2018 03:00;1;1;3;54093.8984375;59169.640625;69090.2578125
01/01/2018 04:00;1;1;4;53769.640625;58717.62890625;68180.421875
01/01/2018 05:00;1;1;5;54113.59765625;58707.484375;67115.34375
01/01/2018 06:00;1;1;6;54005.0390625;57941.859375;64811.5390625
01/01/2018 07:00;1;1;7;52379.6171875;56400.3828125;64835.1796875
01/01/2018 08:00;1;1;8;54487.4375;58380.953125;67980.1875
01/01/2018 09:00;1;1;9;59439.48046875;62713.93359375;71363.9765625
01/01/2018 10:00;1;1;10;64758.0078125;67202.8515625;73803.4375
01/01/2018 11:00;1;1;11;68515.1875;70371.765625;75454.90625
01/01/2018 12:00;1;1;12;70565.640625;72412.296875;77329.4296875
01/01/2018 13:00;1;1;13;69399.921875;71570.0703125;77020.2890625
01/01/2018 14:00;1;1;14;66454.2890625;69135.3046875;75648.6953125
01/01/2018 15:00;1;1;15;64403.12109375;67421.2578125;74588.4765625
01/01/2018 16:00;1;1;16;73554.3828125;76574.859375;74972.8828125
01/01/2018 17:00;1;1;17;74226.390625;69066.671875;77331.6875
01/01/2018 18:00;1;1;18;70606.6484375;73874.71875;82256.375
01/01/2018 19:00;1;1;19;73612.234375;76400.5546875;82932.96875
01/01/2018 20:00;1;1;20;72398.4921875;75052.671875;80340.4765625
01/01/2018 21:00;1;1;21;68752.2890625;71549.5703125;76516.640625
01/01/2018 22:00;1;1;22;66357.0;69491.65625;74945.734375
01/01/2018 23:00;1;1;23;64945.85546875;68731.53125;75457.5625
02/01/2018 00:00;1;2;0;70404.546875;75019.859375;76873.90625
02/01/2018 01:00;1;2;1;66011.09375;70946.6875;72680.5234375
02/01/2018 02:00;1;2;2;63244.828125;68404.6328125;70069.9609375
02/01/2018 03:00;1;2;3;61877.54296875;67166.296875;68788.6171875
02/01/2018 04:00;1;2;4;61870.5625;67207.4375;68802.171875
02/01/2018 05:00;1;2;5;62802.8671875;68103.3515625;69601.421875
02/01/2018 06:00;1;2;6;64835.4765625;70085.25;71454.3671875
02/01/2018 07:00;1;2;7;70555.2734375;75810.5;77445.546875
02/01/2018 08:00;1;2;8;76889.171875;81974.8828125;83973.96875
02/01/2018 09:00;1;2;9;80589.953125;85429.734375;87625.6640625
02/01/2018 10:00;1;2;10;82597.21875;87159.71875;89365.015625
02/01/2018 11:00;1;2;11;84493.1328125;88878.578125;91109.0703125
02/01/2018 12:00;1;2;12;86156.34375;90351.46875;92537.703125
02/01/2018 13:00;1;2;13;85476.421875;89656.15625;91724.28125
02/01/2018 14:00;1;2;14;83971.1875;88291.7890625;90308.234375
02/01/2018 15:00;1;2;15;82443.15625;86874.75;88848.0625
02/01/2018 16:00;1;2;16;82023.5078125;86439.859375;88392.640625
02/01/2018 17:00;1;2;17;83531.828125;87675.46875;89563.7265625
02/01/2018 18:00;1;2;18;88128.5625;91735.203125;93543.484375
02/01/2018 19:00;1;2;19;89334.390625;92909.1484375;94732.359375
02/01/2018 20:00;1;2;20;87025.4609375;91016.328125;92971.234375
02/01/2018 21:00;1;2;21;81893.9375;86369.9609375;88385.578125
02/01/2018 22:00;1;2;22;78231.2890625;82975.125;85024.328125
02/01/2018 23:00;1;2;23;75877.234375;80605.5;82538.171875
03/01/2018 00:00;1;3;0;70245.9140625;77408.2734375;76663.59375
03/01/2018 01:00;1;3;1;65740.5390625;73166.25;72576.71875
03/01/2018 02:00;1;3;2;62947.34375;70499.84375;70028.296875
03/01/2018 03:00;1;3;3;61631.2578125;69168.9296875;68795.25
03/01/2018 04:00;1;3;4;61757.06640625;69144.6484375;68861.640625
03/01/2018 05:00;1;3;5;62934.5390625;69968.96875;69830.546875
03/01/2018 06:00;1;3;6;65533.453125;71820.921875;71923.234375
03/01/2018 07:00;1;3;7;72063.28125;77555.53125;77697.3828125
03/01/2018 08:00;1;3;8;78895.796875;83864.671875;83845.953125
03/01/2018 09:00;1;3;9;82702.4296875;87435.28125;87270.671875
03/01/2018 10:00;1;3;10;84667.3125;89233.953125;88995.3125
03/01/2018 11:00;1;3;11;86610.6328125;90981.1328125;90725.390625
03/01/2018 12:00;1;3;12;88161.6484375;92554.09375;92245.375
03/01/2018 13:00;1;3;13;87345.75;91884.9375;91584.4375
03/01/2018 14:00;1;3;14;85787.765625;90485.15625;90227.59375
03/01/2018 15:00;1;3;15;84181.8515625;89036.921875;88805.1875
03/01/2018 16:00;1;3;16;83616.0390625;88655.8125;88363.9609375
03/01/2018 17:00;1;3;17;84908.0625;90066.71875;89621.7265625
03/01/2018 18:00;1;3;18;89269.0;94436.375;93766.7890625
03/01/2018 19:00;1;3;19;90577.2734375;95538.84375;94993.15625
03/01/2018 20:00;1;3;20;88485.15625;93363.0546875;93072.5625
03/01/2018 21:00;1;3;21;83352.109375;88450.0;88330.6875
03/01/2018 22:00;1;3;22;79489.71875;84964.875;84848.640625
03/01/2018 23:00;1;3;23;76652.890625;82696.9375;82456.953125
04/01/2018 00:00;1;4;0;78103.625;76056.515625;80272.171875
04/01/2018 01:00;1;4;1;74177.84375;71935.9765625;75897.828125
04/01/2018 02:00;1;4;2;71720.1953125;69368.671875;73133.0234375
04/01/2018 03:00;1;4;3;70485.1875;68108.3984375;71717.125
04/01/2018 04:00;1;4;4;70456.3359375;68138.84375;71605.3984375
04/01/2018 05:00;1;4;5;71142.375;69024.6171875;72212.9921875
04/01/2018 06:00;1;4;6;72664.125;71048.296875;73579.828125
04/01/2018 07:00;1;4;7;78076.0234375;77085.890625;79051.3515625
04/01/2018 08:00;1;4;8;84071.2734375;83467.0234375;85481.3203125
04/01/2018 09:00;1;4;9;87440.90625;86890.8046875;89346.21875
04/01/2018 10:00;1;4;10;89038.59375;88484.40625;91338.6640625
04/01/2018 11:00;1;4;11;90654.296875;90113.46875;93231.75
04/01/2018 12:00;1;4;12;92131.875;91575.6015625;94890.90625
04/01/2018 13:00;1;4;13;91479.453125;90903.234375;94125.921875
04/01/2018 14:00;1;4;14;90215.5;89594.453125;92624.328125
04/01/2018 15:00;1;4;15;88885.84375;88197.53125;91116.5546875
04/01/2018 16:00;1;4;16;88540.296875;87792.7890625;90747.4140625
04/01/2018 17:00;1;4;17;89760.421875;89052.15625;92180.25
04/01/2018 18:00;1;4;18;93738.125;93155.8125;96645.21875
04/01/2018 19:00;1;4;19;94908.1953125;94197.3046875;97945.6171875
04/01/2018 20:00;1;4;20;93192.3125;92162.734375;95998.3125
04/01/2018 21:00;1;4;21;88770.421875;87396.78125;91169.421875
04/01/2018 22:00;1;4;22;85610.9609375;83939.75;87797.65625
04/01/2018 23:00;1;4;23;83496.8125;81561.53125;85592.4296875
05/01/2018 00:00;1;5;0;82748.4296875;71433.65625;73920.8515625
05/01/2018 01:00;1;5;1;78753.1328125;66943.7734375;69271.96875
05/01/2018 02:00;1;5;2;76223.515625;64119.515625;66372.546875
05/01/2018 03:00;1;5;3;74889.875;62734.79296875;64964.125
05/01/2018 04:00;1;5;4;74696.3125;62756.078125;64987.87890625
05/01/2018 05:00;1;5;5;74984.15625;63788.359375;65915.1953125
05/01/2018 06:00;1;5;6;75767.5;66043.2421875;68040.484375
05/01/2018 07:00;1;5;7;80711.796875;72023.0078125;74417.78125
05/01/2018 08:00;1;5;8;86762.265625;78514.1015625;81470.578125
05/01/2018 09:00;1;5;9;90410.859375;82238.5546875;85572.359375
05/01/2018 10:00;1;5;10;92165.0;84252.15625;87682.1953125
05/01/2018 11:00;1;5;11;93821.46875;86167.5390625;89708.578125
05/01/2018 12:00;1;5;12;95251.453125;87856.359375;91270.734375
05/01/2018 13:00;1;5;13;94458.921875;87182.1875;90331.328125
05/01/2018 14:00;1;5;14;93088.5625;85657.078125;88668.359375
05/01/2018 15:00;1;5;15;91732.5625;84097.0625;87007.71875
05/01/2018 16:00;1;5;16;91448.90625;83657.171875;86465.390625
05/01/2018 17:00;1;5;17;92722.6796875;85199.890625;87789.65625
05/01/2018 18:00;1;5;18;96657.7265625;89906.4765625;92191.53125
05/01/2018 19:00;1;5;19;97743.34375;91098.1640625;93530.3203125
05/01/2018 20:00;1;5;20;96078.6953125;88657.09375;91526.890625
05/01/2018 21:00;1;5;21;91872.9453125;83340.4140625;86470.59375
05/01/2018 22:00;1;5;22;89014.28125;79526.7265625;82749.046875
05/01/2018 23:00;1;5;23;87093.46875;77068.5859375;79966.7265625
06/01/2018 00:00;1;6;0;87522.6875;76879.328125;89921.7578125
06/01/2018 01:00;1;6;1;83614.265625;72690.734375;85974.7421875
06/01/2018 02:00;1;6;2;80881.6796875;69863.4609375;83199.875
06/01/2018 03:00;1;6;3;79285.5;68342.7109375;81516.5703125
06/01/2018 04:00;1;6;4;78425.3984375;67811.703125;80516.5078125
06/01/2018 05:00;1;6;5;77525.7265625;67763.09375;79307.8828125
06/01/2018 06:00;1;6;6;75820.640625;67889.359375;77105.5625
06/01/2018 07:00;1;6;7;74538.328125;68914.78125;75846.296875
06/01/2018 08:00;1;6;8;77405.21875;72799.5625;78930.4140625
06/01/2018 09:00;1;6;9;82120.1875;77186.203125;83668.6875
06/01/2018 10:00;1;6;10;86429.984375;80978.328125;87799.546875
06/01/2018 11:00;1;6;11;89100.640625;83471.984375;90285.484375
06/01/2018 12:00;1;6;12;90372.640625;84799.859375;91515.90625
06/01/2018 13:00;1;6;13;89063.890625;83679.65625;90216.2421875
06/01/2018 14:00;1;6;14;86443.4453125;81266.59375;87669.484375
06/01/2018 15:00;1;6;15;84729.0546875;79523.8515625;86020.6328125
06/01/2018 16:00;1;6;16;84543.8984375;79199.9140625;85979.515625
06/01/2018 17:00;1;6;17;86778.9375;81374.09375;88343.7734375
06/01/2018 18:00;1;6;18;91010.1875;85884.421875;92649.3359375
06/01/2018 19:00;1;6;19;91831.484375;86572.9921875;93126.703125
06/01/2018 20:00;1;6;20;89240.8984375;83456.40625;90257.71875
06/01/2018 21:00;1;6;21;85998.0625;79266.546875;86983.453125
06/01/2018 22:00;1;6;22;84525.9765625;76823.859375;85675.921875
06/01/2018 23:00;1;6;23;83942.96875;75504.1640625;85356.8203125
07/01/2018 00:00;1;7;0;80000.9375;69999.5625;80377.40625
07/01/2018 01:00;1;7;1;76542.1171875;65936.515625;76963.609375
07/01/2018 02:00;1;7;2;74112.78125;63158.609375;74549.796875
07/01/2018 03:00;1;7;3;72654.609375;61657.5;73083.1875
07/01/2018 04:00;1;7;4;71991.015625;61217.22265625;72384.546875
07/01/2018 05:00;1;7;5;71315.75;61279.4921875;71652.5
07/01/2018 06:00;1;7;6;68877.2734375;60524.21484375;69075.921875
07/01/2018 07:00;1;7;7;66700.0703125;59610.21484375;66624.453125
07/01/2018 08:00;1;7;8;68576.296875;62229.75390625;68309.125
07/01/2018 09:00;1;7;9;72895.4140625;66873.6015625;72570.890625
07/01/2018 10:00;1;7;10;77039.109375;71450.0703125;76728.203125
07/01/2018 11:00;1;7;11;80120.625;74836.9453125;79792.2265625
07/01/2018 12:00;1;7;12;82524.25;77196.1796875;82226.265625
07/01/2018 13:00;1;7;13;81843.6875;76356.3828125;81594.0859375
07/01/2018 14:00;1;7;14;79743.5546875;73887.875;79507.1640625
07/01/2018 15:00;1;7;15;78230.6015625;72059.5390625;78016.3671875
07/01/2018 16:00;1;7;16;78088.28125;71644.9375;77914.7578125
07/01/2018 17:00;1;7;17;80003.1640625;73725.0546875;79905.03125
07/01/2018 18:00;1;7;18;84899.65625;79027.0078125;84881.0859375
07/01/2018 19:00;1;7;19;88044.1328125;82013.03125;87977.359375
07/01/2018 20:00;1;7;20;87836.375;80909.109375;87667.3671875
07/01/2018 21:00;1;7;21;84856.46875;76982.21875;84674.234375
07/01/2018 22:00;1;7;22;83309.3125;74532.671875;83180.3125
07/01/2018 23:00;1;7;23;83233.09375;73574.03125;83252.953125
08/01/2018 00:00;1;8;0;84967.953125;77017.453125;87363.3125
08/01/2018 01:00;1;8;1;80909.53125;73151.703125;83563.40625
08/01/2018 02:00;1;8;2;78479.9296875;70914.9921875;81313.015625
08/01/2018 03:00;1;8;3;77303.7734375;70033.296875;80208.4765625
08/01/2018 04:00;1;8;4;77400.359375;70582.859375;80301.78125
08/01/2018 05:00;1;8;5;78208.765625;72449.0625;80952.0
08/01/2018 06:00;1;8;6;80650.796875;76877.9453125;83038.6875
08/01/2018 07:00;1;8;7;89160.703125;86216.2421875;91594.0
08/01/2018 08:00;1;8;8;97146.234375;93855.484375;99559.4140625
08/01/2018 09:00;1;8;9;100307.78125;96477.828125;102533.9921875
08/01/2018 10:00;1;8;10;100745.34375;96845.125;102626.046875
08/01/2018 11:00;1;8;11;101649.4765625;97830.53125;103342.578125
08/01/2018 12:00;1;8;12;102515.3125;98679.4453125;104143.984375
08/01/2018 13:00;1;8;13;101657.8515625;98002.515625;103318.7421875
08/01/2018 14:00;1;8;14;100728.8046875;97140.421875;102593.0
08/01/2018 15:00;1;8;15;99500.015625;95883.28125;101500.234375
08/01/2018 16:00;1;8;16;99097.015625;95196.59375;101150.2109375
08/01/2018 17:00;1;8;17;99832.734375;95694.6796875;101662.03125
08/01/2018 18:00;1;8;18;102940.3125;98655.171875;104410.015625
08/01/2018 19:00;1;8;19;103119.78125;99141.109375;104667.5625
08/01/2018 20:00;1;8;20;101129.4609375;97180.96875;103202.15625
08/01/2018 21:00;1;8;21;96626.3125;92381.640625;99129.796875
08/01/2018 22:00;1;8;22;93216.0703125;88304.8671875;96012.8046875
08/01/2018 23:00;1;8;23;90296.171875;84694.203125;93221.859375
09/01/2018 00:00;1;9;0;82270.9921875;77466.2421875;86292.296875
09/01/2018 01:00;1;9;1;77881.3359375;73491.125;82627.6953125
09/01/2018 02:00;1;9;2;75244.875;71159.984375;80438.28125
09/01/2018 03:00;1;9;3;73971.734375;70200.8671875;79383.03125
09/01/2018 04:00;1;9;4;74081.65625;70662.3203125;79479.1953125
09/01/2018 05:00;1;9;5;75001.8828125;72418.921875;80190.1875
09/01/2018 06:00;1;9;6;77667.53125;76742.625;82352.828125
09/01/2018 07:00;1;9;7;86626.578125;85943.84375;90077.1875
09/01/2018 08:00;1;9;8;95063.8203125;93604.9765625;97354.3515625
09/01/2018 09:00;1;9;9;98482.2578125;96299.1328125;100262.265625
09/01/2018 10:00;1;9;10;99075.984375;96754.953125;100665.46875
09/01/2018 11:00;1;9;11;100135.5625;97713.109375;101505.34375
09/01/2018 12:00;1;9;12;101146.3125;98527.1953125;102262.65625
09/01/2018 13:00;1;9;13;100256.328125;97833.8125;101437.2890625
09/01/2018 14:00;1;9;14;99220.265625;96898.7265625;100577.21875
09/01/2018 15:00;1;9;15;97874.015625;95616.71875;99455.640625
09/01/2018 16:00;1;9;16;97429.453125;94985.9921875;99069.359375
09/01/2018 17:00;1;9;17;98277.9453125;95677.5;99667.84375
09/01/2018 18:00;1;9;18;101751.390625;98806.5859375;102389.390625
09/01/2018 19:00;1;9;19;102042.046875;98982.46875;102635.25
09/01/2018 20:00;1;9;20;99867.03125;96535.6328125;101010.3125
09/01/2018 21:00;1;9;21;94941.671875;91548.609375;97045.109375
09/01/2018 22:00;1;9;22;91213.703125;87467.21875;94014.296875
09/01/2018 23:00;1;9;23;88101.21875;83973.203125;91314.890625
10/01/2018 00:00;1;10;0;82065.5703125;78858.9375;86730.265625
10/01/2018 01:00;1;10;1;77879.9375;74928.34375;83071.984375
10/01/2018 02:00;1;10;2;75429.375;72640.703125;80893.4296875
10/01/2018 03:00;1;10;3;74308.1484375;71689.421875;79803.921875
10/01/2018 04:00;1;10;4;74578.46875;72154.890625;79861.75
10/01/2018 05:00;1;10;5;75782.453125;73890.1796875;80465.78125
10/01/2018 06:00;1;10;6;79205.84375;78202.2578125;82439.453125
10/01/2018 07:00;1;10;7;89322.53125;87847.671875;90641.359375
10/01/2018 08:00;1;10;8;98126.9921875;95740.296875;98243.71875
10/01/2018 09:00;1;10;9;101097.109375;98267.4375;100999.40625
10/01/2018 10:00;1;10;10;101075.4609375;98390.6640625;101009.0
10/01/2018 11:00;1;10;11;101761.328125;99157.4765625;101622.1640625
10/01/2018 12:00;1;10;12;102517.90625;99976.328125;102442.703125
10/01/2018 13:00;1;10;13;101697.2109375;99371.2109375;101742.640625
10/01/2018 14:00;1;10;14;100931.046875;98613.15625;101104.1875
10/01/2018 15:00;1;10;15;99716.1640625;97417.890625;100091.921875
10/01/2018 16:00;1;10;16;99237.578125;96851.828125;99822.9296875
10/01/2018 17:00;1;10;17;99826.890625;97509.734375;100439.734375
10/01/2018 18:00;1;10;18;102835.3203125;100628.59375;103260.609375
10/01/2018 19:00;1;10;19;102765.734375;100686.859375;103377.421875
10/01/2018 20:00;1;10;20;100538.640625;98225.7109375;101710.125
10/01/2018 21:00;1;10;21;95659.15625;93177.4765625;97623.125
10/01/2018 22:00;1;10;22;91804.3125;89069.203125;94580.140625
10/01/2018 23:00;1;10;23;88400.984375;85628.2578125;92040.0703125
11/01/2018 00:00;1;11;0;80811.3359375;77501.6875;87570.546875
11/01/2018 01:00;1;11;1;76609.53125;73563.4921875;84019.6015625
11/01/2018 02:00;1;11;2;74125.03125;71282.0078125;81918.2109375
11/01/2018 03:00;1;11;3;72992.9140625;70349.375;80918.734375
11/01/2018 04:00;1;11;4;73270.9453125;70844.4765625;81072.3828125
11/01/2018 05:00;1;11;5;74594.765625;72623.7578125;81897.484375
11/01/2018 06:00;1;11;6;78138.7734375;77038.9765625;84300.1875
11/01/2018 07:00;1;11;7;87744.5078125;86820.03125;92395.2265625
11/01/2018 08:00;1;11;8;96110.046875;94793.71875;99706.78125
11/01/2018 09:00;1;11;9;99037.84375;97347.0625;102339.171875
11/01/2018 10:00;1;11;10;99257.640625;97469.328125;102436.40625
11/01/2018 11:00;1;11;11;100075.625;98251.1484375;103096.59375
11/01/2018 12:00;1;11;12;100980.625;99030.8671875;103842.6328125
11/01/2018 13:00;1;11;13;100266.546875;98383.15625;103142.828125
11/01/2018 14:00;1;11;14;99432.03125;97609.109375;102459.90625
11/01/2018 15:00;1;11;15;98187.34375;96398.53125;101429.40625
11/01/2018 16:00;1;11;16;97718.953125;95796.125;101075.078125
11/01/2018 17:00;1;11;17;98508.0625;96387.1796875;101631.453125
11/01/2018 18:00;1;11;18;101853.5625;99412.4375;104309.546875
11/01/2018 19:00;1;11;19;101877.609375;99503.2109375;104443.546875
11/01/2018 20:00;1;11;20;99393.1484375;97137.8984375;102754.390625
11/01/2018 21:00;1;11;21;94286.078125;92146.4765625;98719.5703125
11/01/2018 22:00;1;11;22;90310.40625;88029.609375;95611.078125
11/01/2018 23:00;1;11;23;87044.84375;84484.84375;92923.9375
12/01/2018 00:00;1;12;0;78644.90625;75548.4609375;83265.6796875
