Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;3156.8955078125;3086.931640625;3178.95166015625
01/01/2018 01:00;1;1;1;3134.93359375;3063.46630859375;3154.279296875
01/01/2018 02:00;1;1;2;3133.12060546875;3059.3076171875;3150.08251953125
01/01/2018 03:00;1;1;3;3166.44921875;3086.740234375;3177.447265625
01/01/2018 04:00;1;1;4;3247.77734375;3155.4404296875;3243.86181640625
01/01/2018 05:00;1;1;5;3408.12158203125;3314.796875;3411.630859375
01/01/2018 06:00;1;1;6;3594.521728515625;3514.38818359375;3625.279296875
01/01/2018 07:00;1;1;7;3725.38134765625;3652.391357421875;3763.276611328125
01/01/2018 08:00;1;1;8;3787.759033203125;3712.446044921875;3811.2353515625
01/01/2018 09:00;1;1;9;3816.68505859375;3744.62548828125;3835.9375
01/01/2018 10:00;1;1;10;3801.31884765625;3733.2294921875;3810.5634765625
01/01/2018 11:00;1;1;11;3766.603759765625;3696.213623046875;3750.912353515625
01/01/2018 12:00;1;1;12;3751.781494140625;3685.74755859375;3730.67919921875
01/01/2018 13:00;1;1;13;3748.0537109375;3684.6123046875;3725.90380859375
01/01/2018 14:00;1;1;14;3787.30615234375;3720.146484375;3760.552490234375
01/01/2018 15:00;1;1;15;3973.79345703125;3901.04345703125;3942.390625
01/01/2018 16:00;1;1;16;4150.40087890625;4088.064697265625;4164.91259765625
01/01/2018 17:00;1;1;17;4055.466552734375;3996.974365234375;4090.0830078125
01/01/2018 18:00;1;1;18;3893.753662109375;3834.898681640625;3920.327880859375
01/01/2018 19:00;1;1;19;3726.258056640625;3667.4384765625;3740.494384765625
01/01/2018 20:00;1;1;20;3559.00244140625;3503.95458984375;3564.622802734375
01/01/2018 21:00;1;1;21;3398.5341796875;3345.2646484375;3402.216796875
01/01/2018 22:00;1;1;22;3273.826171875;3219.718505859375;3271.8017578125
01/01/2018 23:00;1;1;23;3189.79296875;3133.18310546875;3179.63916015625
02/01/2018 00:00;1;2;0;3321.737548828125;3246.792724609375;3420.656005859375
02/01/2018 01:00;1;2;1;3292.422607421875;3215.074462890625;3384.42822265625
02/01/2018 02:00;1;2;2;3298.162109375;3215.167724609375;3381.38134765625
02/01/2018 03:00;1;2;3;3362.81640625;3262.9140625;3421.45849609375
02/01/2018 04:00;1;2;4;3570.044921875;3428.896484375;3570.65478515625
02/01/2018 05:00;1;2;5;4028.228515625;3861.76025390625;4026.71875
02/01/2018 06:00;1;2;6;4487.7548828125;4330.24462890625;4547.02783203125
02/01/2018 07:00;1;2;7;4665.74267578125;4516.34375;4748.19775390625
02/01/2018 08:00;1;2;8;4688.97998046875;4531.9658203125;4744.99560546875
02/01/2018 09:00;1;2;9;4723.53125;4571.93359375;4782.189453125
02/01/2018 10:00;1;2;10;4681.9521484375;4540.70654296875;4739.66552734375
02/01/2018 11:00;1;2;11;4594.20361328125;4449.96142578125;4616.35546875
02/01/2018 12:00;1;2;12;4566.42822265625;4433.13623046875;4594.46875
02/01/2018 13:00;1;2;13;4490.7119140625;4367.34912109375;4525.224609375
02/01/2018 14:00;1;2;14;4429.18603515625;4300.77490234375;4447.724609375
02/01/2018 15:00;1;2;15;4555.20849609375;4407.69580078125;4545.5146484375
02/01/2018 16:00;1;2;16;4778.8857421875;4648.201171875;4847.2470703125
02/01/2018 17:00;1;2;17;4674.71728515625;4560.2412109375;4783.1552734375
02/01/2018 18:00;1;2;18;4462.61767578125;4357.33056640625;4567.1533203125
02/01/2018 19:00;1;2;19;4249.763671875;4154.19384765625;4346.5634765625
02/01/2018 20:00;1;2;20;4058.37646484375;3980.450927734375;4162.45703125
02/01/2018 21:00;1;2;21;3824.90478515625;3762.847412109375;3938.6005859375
02/01/2018 22:00;1;2;22;3610.0576171875;3556.252685546875;3719.02099609375
02/01/2018 23:00;1;2;23;3461.7314453125;3409.368896484375;3557.80419921875
03/01/2018 00:00;1;3;0;3444.667236328125;3608.7294921875;3364.5732421875
03/01/2018 01:00;1;3;1;3416.746337890625;3582.0693359375;3343.49267578125
03/01/2018 02:00;1;3;2;3428.47509765625;3593.63037109375;3364.01513671875
03/01/2018 03:00;1;3;3;3509.18798828125;3677.99951171875;3470.98291015625
