Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;17514.091796875;17687.6640625;17880.1015625
01/01/2018 01:00;1;1;1;17262.44140625;17417.1171875;17621.482421875
01/01/2018 02:00;1;1;2;17134.189453125;17277.013671875;17489.07421875
01/01/2018 03:00;1;1;3;17024.30859375;17151.263671875;17375.001953125
01/01/2018 04:00;1;1;4;16914.3359375;17005.69921875;17261.771484375
01/01/2018 05:00;1;1;5;17220.580078125;17277.90625;17579.966796875
01/01/2018 06:00;1;1;6;18219.203125;18292.5234375;18614.708984375
01/01/2018 07:00;1;1;7;19119.0234375;19226.78515625;19546.9609375
01/01/2018 08:00;1;1;8;19692.47265625;19822.08203125;20143.5546875
01/01/2018 09:00;1;1;9;19904.431640625;20030.234375;20367.49609375
01/01/2018 10:00;1;1;10;20023.2890625;20149.23046875;20493.271484375
01/01/2018 11:00;1;1;11;19926.818359375;20038.671875;20395.22265625
01/01/2018 12:00;1;1;12;19902.50390625;20010.20703125;20370.5078125
01/01/2018 13:00;1;1;13;19868.37109375;19984.546875;20331.728515625
01/01/2018 14:00;1;1;14;19921.27734375;20067.775390625;20377.7890625
01/01/2018 15:00;1;1;15;20243.65234375;20456.77734375;20696.96875
01/01/2018 16:00;1;1;16;21036.9375;21352.90625;21503.65234375
01/01/2018 17:00;1;1;17;20803.263671875;21149.4140625;21252.755859375
01/01/2018 18:00;1;1;18;20476.060546875;20832.015625;20908.427734375
01/01/2018 19:00;1;1;19;20063.193359375;20404.59765625;20482.765625
01/01/2018 20:00;1;1;20;19574.23046875;19884.671875;19983.142578125
01/01/2018 21:00;1;1;21;18944.31640625;19209.15625;19339.7109375
01/01/2018 22:00;1;1;22;18333.41796875;18556.9609375;18716.4609375
01/01/2018 23:00;1;1;23;17847.125;18039.5625;18218.2578125
02/01/2018 00:00;1;2;0;18520.70703125;18628.6875;18548.287109375
02/01/2018 01:00;1;2;1;18252.46484375;18356.927734375;18281.3203125
02/01/2018 02:00;1;2;2;18146.37109375;18253.19140625;18183.048828125
02/01/2018 03:00;1;2;3;18175.17578125;18296.896484375;18241.486328125
02/01/2018 04:00;1;2;4;18493.37890625;18659.4296875;18644.42578125
02/01/2018 05:00;1;2;5;19442.4140625;19676.751953125;19715.39453125
02/01/2018 06:00;1;2;6;20860.359375;21133.94140625;21193.50390625
02/01/2018 07:00;1;2;7;21887.7890625;22164.35546875;22219.2109375
02/01/2018 08:00;1;2;8;22454.470703125;22707.685546875;22751.859375
02/01/2018 09:00;1;2;9;22684.5;22910.84765625;22954.1796875
02/01/2018 10:00;1;2;10;22778.509765625;22979.9453125;23019.25
02/01/2018 11:00;1;2;11;22745.4609375;22936.240234375;22982.703125
02/01/2018 12:00;1;2;12;22760.08984375;22946.40234375;22996.140625
02/01/2018 13:00;1;2;13;22738.65234375;22932.490234375;22981.435546875
02/01/2018 14:00;1;2;14;22782.46484375;23002.28125;23044.59375
02/01/2018 15:00;1;2;15;23086.61328125;23351.71484375;23377.603515625
02/01/2018 16:00;1;2;16;23687.984375;23968.94140625;23953.50390625
