Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;3260.8193359375;3258.71728515625;3222.80712890625
01/01/2018 01:00;1;1;1;3233.42919921875;3231.626953125;3197.523193359375
01/01/2018 02:00;1;1;2;3220.35888671875;3219.255615234375;3187.6826171875
01/01/2018 03:00;1;1;3;3221.3037109375;3221.593994140625;3194.478515625
01/01/2018 04:00;1;1;4;3228.220458984375;3232.028076171875;3213.850830078125
01/01/2018 05:00;1;1;5;3251.857666015625;3260.99853515625;3254.939208984375
01/01/2018 06:00;1;1;6;3316.0009765625;3327.47802734375;3323.477783203125
01/01/2018 07:00;1;1;7;3361.629638671875;3371.830810546875;3363.70361328125
01/01/2018 08:00;1;1;8;3410.205322265625;3417.93603515625;3406.2802734375
01/01/2018 09:00;1;1;9;3476.189208984375;3481.132080078125;3466.508544921875
01/01/2018 10:00;1;1;10;3543.680908203125;3545.1171875;3528.600341796875
01/01/2018 11:00;1;1;11;3561.815673828125;3562.08056640625;3544.92138671875
01/01/2018 12:00;1;1;12;3594.560791015625;3593.576416015625;3573.573486328125
01/01/2018 13:00;1;1;13;3635.02734375;3632.4931640625;3609.4541015625
01/01/2018 14:00;1;1;14;3672.994384765625;3668.4267578125;3639.27099609375
01/01/2018 15:00;1;1;15;3664.057861328125;3659.273193359375;3623.6650390625
01/01/2018 16:00;1;1;16;3626.03662109375;3622.293212890625;3580.37890625
01/01/2018 17:00;1;1;17;3556.03857421875;3554.447509765625;3506.11181640625
01/01/2018 18:00;1;1;18;3485.113525390625;3484.739013671875;3432.941650390625
01/01/2018 19:00;1;1;19;3432.65087890625;3432.50146484375;3377.71337890625
01/01/2018 20:00;1;1;20;3400.009521484375;3397.87939453125;3342.893310546875
01/01/2018 21:00;1;1;21;3364.823486328125;3359.926513671875;3306.86767578125
01/01/2018 22:00;1;1;22;3329.257568359375;3321.671630859375;3273.05029296875
01/01/2018 23:00;1;1;23;3297.33935546875;3288.161865234375;3243.027099609375
02/01/2018 00:00;1;2;0;3143.8232421875;3275.806884765625;3200.418701171875
02/01/2018 01:00;1;2;1;3106.5673828125;3238.957275390625;3164.865234375
02/01/2018 02:00;1;2;2;3098.230712890625;3228.609619140625;3156.5966796875
02/01/2018 03:00;1;2;3;3126.09521484375;3252.25244140625;3183.36572265625
02/01/2018 04:00;1;2;4;3212.05712890625;3330.3916015625;3267.7626953125
02/01/2018 05:00;1;2;5;3381.364990234375;3485.4775390625;3431.73681640625
02/01/2018 06:00;1;2;6;3579.87890625;3664.205810546875;3614.828857421875
02/01/2018 07:00;1;2;7;3658.656494140625;3733.3544921875;3682.33056640625
02/01/2018 08:00;1;2;8;3690.660888671875;3763.234375;3708.426025390625
02/01/2018 09:00;1;2;9;3721.50146484375;3794.92236328125;3736.074462890625
02/01/2018 10:00;1;2;10;3745.172607421875;3820.38525390625;3755.467041015625
02/01/2018 11:00;1;2;11;3734.617919921875;3811.3251953125;3744.8271484375
02/01/2018 12:00;1;2;12;3746.274658203125;3820.347900390625;3753.44287109375
02/01/2018 13:00;1;2;13;3776.768798828125;3843.83349609375;3776.015625
02/01/2018 14:00;1;2;14;3789.36572265625;3850.058837890625;3781.91845703125
02/01/2018 15:00;1;2;15;3759.98291015625;3820.9267578125;3756.382080078125
02/01/2018 16:00;1;2;16;3720.9755859375;3781.40869140625;3723.18115234375
02/01/2018 17:00;1;2;17;3660.59765625;3724.36181640625;3674.491455078125
02/01/2018 18:00;1;2;18;3592.433349609375;3662.983154296875;3617.7138671875
02/01/2018 19:00;1;2;19;3524.181640625;3602.6533203125;3558.72509765625
02/01/2018 20:00;1;2;20;3448.807861328125;3537.697265625;3488.477294921875
02/01/2018 21:00;1;2;21;3354.853271484375;3456.1044921875;3398.267578125
02/01/2018 22:00;1;2;22;3255.977783203125;3370.833251953125;3303.79296875
02/01/2018 23:00;1;2;23;3178.189697265625;3303.896484375;3231.525634765625
03/01/2018 00:00;1;3;0;3346.56298828125;3197.924072265625;3243.249755859375
03/01/2018 01:00;1;3;1;3309.010986328125;3160.514404296875;3204.545654296875
03/01/2018 02:00;1;3;2;3299.28857421875;3150.134765625;3193.967041015625
03/01/2018 03:00;1;3;3;3325.5009765625;3173.103271484375;3218.55908203125
03/01/2018 04:00;1;3;4;3411.854736328125;3247.603271484375;3298.28515625
03/01/2018 05:00;1;3;5;3581.294921875;3398.7744140625;3458.586669921875
03/01/2018 06:00;1;3;6;3769.30029296875;3586.216796875;3653.48095703125
03/01/2018 07:00;1;3;7;3837.938720703125;3666.188720703125;3736.27734375
03/01/2018 08:00;1;3;8;3864.20263671875;3703.4931640625;3774.812255859375
03/01/2018 09:00;1;3;9;3891.862060546875;3740.65966796875;3812.82275390625
03/01/2018 10:00;1;3;10;3911.857177734375;3770.558349609375;3843.08154296875
03/01/2018 11:00;1;3;11;3901.3896484375;3762.053955078125;3836.173828125
03/01/2018 12:00;1;3;12;3909.756591796875;3774.005859375;3850.024658203125
03/01/2018 13:00;1;3;13;3932.451904296875;3801.181396484375;3879.674072265625
03/01/2018 14:00;1;3;14;3936.684814453125;3812.779541015625;3892.884033203125
03/01/2018 15:00;1;3;15;3908.45556640625;3786.681884765625;3869.060302734375
03/01/2018 16:00;1;3;16;3872.71142578125;3749.16015625;3834.717041015625
03/01/2018 17:00;1;3;17;3821.7431640625;3693.47802734375;3782.732177734375
03/01/2018 18:00;1;3;18;3764.53515625;3631.824951171875;3724.19775390625
03/01/2018 19:00;1;3;19;3705.974609375;3571.365478515625;3665.21533203125
03/01/2018 20:00;1;3;20;3637.619140625;3505.17333984375;3598.705078125
03/01/2018 21:00;1;3;21;3549.9111328125;3420.2861328125;3512.61181640625
03/01/2018 22:00;1;3;22;3458.20849609375;3328.70849609375;3420.0537109375
03/01/2018 23:00;1;3;23;3388.070556640625;3255.7685546875;3347.30712890625
04/01/2018 00:00;1;4;0;3160.825439453125;3299.4013671875;2915.618408203125
04/01/2018 01:00;1;4;1;3124.370361328125;3261.6259765625;2876.43994140625
04/01/2018 02:00;1;4;2;3114.489990234375;3251.0478515625;2866.556884765625
04/01/2018 03:00;1;4;3;3138.06103515625;3274.75537109375;2892.857177734375
04/01/2018 04:00;1;4;4;3214.687744140625;3353.131591796875;2977.72998046875
04/01/2018 05:00;1;4;5;3369.8291015625;3510.087890625;3148.022216796875
04/01/2018 06:00;1;4;6;3559.515625;3695.903076171875;3354.03564453125
04/01/2018 07:00;1;4;7;3638.2294921875;3770.14794921875;3438.989013671875
04/01/2018 08:00;1;4;8;3672.763916015625;3802.1318359375;3473.4873046875
04/01/2018 09:00;1;4;9;3706.490478515625;3834.718994140625;3505.00048828125
04/01/2018 10:00;1;4;10;3733.105712890625;3859.736328125;3525.3232421875
04/01/2018 11:00;1;4;11;3722.667236328125;3850.053955078125;3512.700927734375
04/01/2018 12:00;1;4;12;3733.3251953125;3860.408447265625;3523.132080078125
04/01/2018 13:00;1;4;13;3761.166748046875;3885.709228515625;3547.301513671875
04/01/2018 14:00;1;4;14;3772.84228515625;3894.871337890625;3555.222900390625
04/01/2018 15:00;1;4;15;3746.63916015625;3869.050048828125;3532.013916015625
04/01/2018 16:00;1;4;16;3707.72607421875;3833.5546875;3503.2861328125
04/01/2018 17:00;1;4;17;3649.43359375;3781.189208984375;3461.109375
04/01/2018 18:00;1;4;18;3585.381591796875;3722.21484375;3407.779541015625
04/01/2018 19:00;1;4;19;3522.237548828125;3663.1259765625;3350.481201171875
04/01/2018 20:00;1;4;20;3452.89013671875;3596.067626953125;3276.40380859375
04/01/2018 21:00;1;4;21;3364.289306640625;3509.847900390625;3177.26611328125
04/01/2018 22:00;1;4;22;3269.14453125;3417.999267578125;3068.586181640625
