Date;Month;Day;Hour;1995;2008;2009
01/01/2018 00:00;1;1;0;44251.6796875;39511.30859375;45367.26171875
01/01/2018 01:00;1;1;1;43266.90234375;38435.234375;44241.3203125
01/01/2018 02:00;1;1;2;41820.828125;36863.75;42710.0078125
01/01/2018 03:00;1;1;3;40457.75;35493.8828125;41335.84375
01/01/2018 04:00;1;1;4;39484.296875;34412.984375;40397.2421875
01/01/2018 05:00;1;1;5;39437.08984375;34276.57421875;40656.6328125
01/01/2018 06:00;1;1;6;40901.734375;36123.4296875;42477.23828125
01/01/2018 07:00;1;1;7;43552.01171875;39368.515625;45284.515625
01/01/2018 08:00;1;1;8;47819.06640625;43462.30859375;49631.18359375
01/01/2018 09:00;1;1;9;52023.80078125;47694.0859375;54101.53125
01/01/2018 10:00;1;1;10;54683.6796875;50242.1796875;57004.6015625
01/01/2018 11:00;1;1;11;56022.14453125;51680.34765625;58562.5078125
01/01/2018 12:00;1;1;12;56603.3671875;52466.98046875;59315.8671875
01/01/2018 13:00;1;1;13;56364.28125;52305.5;59139.51953125
01/01/2018 14:00;1;1;14;55933.41015625;52016.1875;58771.40625
01/01/2018 15:00;1;1;15;56631.953125;52817.60546875;59582.72265625
01/01/2018 16:00;1;1;16;58846.3515625;55518.97265625;61909.2109375
01/01/2018 17:00;1;1;17;61214.4375;57240.58984375;63705.9609375
01/01/2018 18:00;1;1;18;62118.65625;56413.3828125;63627.70703125
01/01/2018 19:00;1;1;19;60964.08203125;53862.453125;61725.55859375
01/01/2018 20:00;1;1;20;57611.62109375;50334.86328125;58279.4375
01/01/2018 21:00;1;1;21;53487.21875;46746.60546875;54308.4375
01/01/2018 22:00;1;1;22;49049.71875;42972.46484375;49937.38671875
01/01/2018 23:00;1;1;23;45196.1796875;39828.21875;46292.1875
02/01/2018 00:00;1;2;0;41854.22265625;41103.5546875;43335.140625
02/01/2018 01:00;1;2;1;40521.55859375;39991.8984375;42265.19140625
02/01/2018 02:00;1;2;2;39106.08984375;38471.7421875;40786.40625
02/01/2018 03:00;1;2;3;37818.0078125;37254.0078125;39500.8046875
02/01/2018 04:00;1;2;4;37057.8359375;36598.80859375;38724.9375
02/01/2018 05:00;1;2;5;38445.22265625;37960.796875;39748.48828125
02/01/2018 06:00;1;2;6;42468.09375;41975.7421875;43450.1484375
02/01/2018 07:00;1;2;7;47558.06640625;46488.6796875;48194.1875
02/01/2018 08:00;1;2;8;52044.14453125;50141.1015625;52423.359375
02/01/2018 09:00;1;2;9;55378.93359375;53328.546875;55852.6328125
02/01/2018 10:00;1;2;10;57275.7109375;55065.9375;57747.78515625
02/01/2018 11:00;1;2;11;58208.2109375;56081.12109375;58667.33203125
02/01/2018 12:00;1;2;12;58561.640625;56524.2265625;58919.75
02/01/2018 13:00;1;2;13;58334.921875;56251.859375;58443.8359375
02/01/2018 14:00;1;2;14;58119.99609375;56070.0;57949.078125
02/01/2018 15:00;1;2;15;59232.671875;57223.71484375;58667.90625
02/01/2018 16:00;1;2;16;61905.4375;60226.234375;61203.00390625
02/01/2018 17:00;1;2;17;63456.71875;61628.640625;63124.1171875
02/01/2018 18:00;1;2;18;63129.58203125;60237.05859375;63023.75
02/01/2018 19:00;1;2;19;61478.453125;57339.89453125;61203.875
02/01/2018 20:00;1;2;20;58691.52734375;53785.14453125;57843.4609375
02/01/2018 21:00;1;2;21;54712.67578125;49885.640625;53633.9453125
02/01/2018 22:00;1;2;22;49380.921875;45443.5703125;48710.21484375
02/01/2018 23:00;1;2;23;44740.9609375;41904.69921875;44489.4765625
03/01/2018 00:00;1;3;0;42986.390625;40962.5546875;42447.1484375
03/01/2018 01:00;1;3;1;42041.21875;39651.01171875;41316.4765625
03/01/2018 02:00;1;3;2;40511.015625;38178.38671875;39851.64453125
03/01/2018 03:00;1;3;3;39229.265625;36891.27734375;38570.8125
03/01/2018 04:00;1;3;4;38475.95703125;36046.4296875;37832.4453125
03/01/2018 05:00;1;3;5;39548.5625;37174.0859375;39107.71875
03/01/2018 06:00;1;3;6;43676.953125;41089.23046875;43288.96875
03/01/2018 07:00;1;3;7;48882.0625;46262.6171875;48513.2734375
03/01/2018 08:00;1;3;8;53073.921875;50651.62109375;52802.046875
03/01/2018 09:00;1;3;9;56420.90625;54106.1015625;56026.859375
