Time(Local);Production;Consumption
01.01.2009 00:00:00 +01:00;18099;15985
01.01.2009 01:00:00 +01:00;16907;15738
01.01.2009 02:00:00 +01:00;15842;15538
01.01.2009 03:00:00 +01:00;14458;15319
01.01.2009 04:00:00 +01:00;14197;15387
01.01.2009 05:00:00 +01:00;14579;15655
01.01.2009 06:00:00 +01:00;14733;16063
01.01.2009 07:00:00 +01:00;14771;16484
01.01.2009 08:00:00 +01:00;14539;16624
01.01.2009 09:00:00 +01:00;14888;16787
01.01.2009 10:00:00 +01:00;15889;17225
01.01.2009 11:00:00 +01:00;17015;17517
01.01.2009 12:00:00 +01:00;17160;17565
01.01.2009 13:00:00 +01:00;16844;17648
01.01.2009 14:00:00 +01:00;16820;17879
01.01.2009 15:00:00 +01:00;17842;18521
01.01.2009 16:00:00 +01:00;19790;18935
01.01.2009 17:00:00 +01:00;21123;18769
01.01.2009 18:00:00 +01:00;22088;18903
01.01.2009 19:00:00 +01:00;20860;18515
01.01.2009 20:00:00 +01:00;20090;18245
01.01.2009 21:00:00 +01:00;19577;17836
01.01.2009 22:00:00 +01:00;19113;17482
01.01.2009 23:00:00 +01:00;18190;16979
02.01.2009 00:00:00 +01:00;17943;16750
02.01.2009 01:00:00 +01:00;16176;15777
02.01.2009 02:00:00 +01:00;15273;16144
02.01.2009 03:00:00 +01:00;14817;16121
02.01.2009 04:00:00 +01:00;15145;16305
02.01.2009 05:00:00 +01:00;16643;16781
02.01.2009 06:00:00 +01:00;18348;17537
02.01.2009 07:00:00 +01:00;20513;18780
02.01.2009 08:00:00 +01:00;21867;19341
02.01.2009 09:00:00 +01:00;22507;19758
02.01.2009 10:00:00 +01:00;23270;20213
02.01.2009 11:00:00 +01:00;23264;20267
02.01.2009 12:00:00 +01:00;23001;20002
02.01.2009 13:00:00 +01:00;22781;19900
02.01.2009 14:00:00 +01:00;22592;19845
02.01.2009 15:00:00 +01:00;22704;19894
02.01.2009 16:00:00 +01:00;23236;20191
02.01.2009 17:00:00 +01:00;23440;20092
02.01.2009 18:00:00 +01:00;23129;19887
02.01.2009 19:00:00 +01:00;22672;19560
02.01.2009 20:00:00 +01:00;22023;19049
02.01.2009 21:00:00 +01:00;21445;18485
02.01.2009 22:00:00 +01:00;21077;17972
02.01.2009 23:00:00 +01:00;19735;17326
03.01.2009 00:00:00 +01:00;17458;16821
03.01.2009 01:00:00 +01:00;16183;16502
03.01.2009 02:00:00 +01:00;15120;16236
03.01.2009 03:00:00 +01:00;14300;15964
03.01.2009 04:00:00 +01:00;14043;15932
03.01.2009 05:00:00 +01:00;14409;16089
03.01.2009 06:00:00 +01:00;14250;16364
03.01.2009 07:00:00 +01:00;15193;16835
03.01.2009 08:00:00 +01:00;15911;17306
03.01.2009 09:00:00 +01:00;17519;17901
03.01.2009 10:00:00 +01:00;18666;18356
03.01.2009 11:00:00 +01:00;18892;18542
03.01.2009 12:00:00 +01:00;18600;18395
03.01.2009 13:00:00 +01:00;18407;18188
03.01.2009 14:00:00 +01:00;18451;18095
03.01.2009 15:00:00 +01:00;18969;18400
03.01.2009 16:00:00 +01:00;20412;18910
03.01.2009 17:00:00 +01:00;21457;19100
03.01.2009 18:00:00 +01:00;21490;19094
03.01.2009 19:00:00 +01:00;21029;18942
03.01.2009 20:00:00 +01:00;19689;18333
03.01.2009 21:00:00 +01:00;19427;17962
03.01.2009 22:00:00 +01:00;18912;17501
03.01.2009 23:00:00 +01:00;18235;17129
04.01.2009 00:00:00 +01:00;16764;16888
04.01.2009 01:00:00 +01:00;15551;16458
04.01.2009 02:00:00 +01:00;14637;16234
04.01.2009 03:00:00 +01:00;14061;16172
04.01.2009 04:00:00 +01:00;14455;16291
04.01.2009 05:00:00 +01:00;14845;16384
04.01.2009 06:00:00 +01:00;14978;16646
04.01.2009 07:00:00 +01:00;15491;16960
04.01.2009 08:00:00 +01:00;16031;17545
04.01.2009 09:00:00 +01:00;16848;17934
04.01.2009 10:00:00 +01:00;18445;18584
04.01.2009 11:00:00 +01:00;19694;18985
04.01.2009 12:00:00 +01:00;19384;18923
04.01.2009 13:00:00 +01:00;18704;18581
04.01.2009 14:00:00 +01:00;18592;18723
04.01.2009 15:00:00 +01:00;18832;19032
04.01.2009 16:00:00 +01:00;20979;19916
04.01.2009 17:00:00 +01:00;22274;19951
04.01.2009 18:00:00 +01:00;22460;20008
04.01.2009 19:00:00 +01:00;22252;20021
04.01.2009 20:00:00 +01:00;21589;19901
04.01.2009 21:00:00 +01:00;20831;19411
04.01.2009 22:00:00 +01:00;19824;19100
04.01.2009 23:00:00 +01:00;18094;18262
05.01.2009 00:00:00 +01:00;17342;17684
05.01.2009 01:00:00 +01:00;16647;17348
05.01.2009 02:00:00 +01:00;16231;17170
05.01.2009 03:00:00 +01:00;16172;17191
05.01.2009 04:00:00 +01:00;16683;17453
05.01.2009 05:00:00 +01:00;18147;18311
05.01.2009 06:00:00 +01:00;20143;19369
05.01.2009 07:00:00 +01:00;23410;21409
05.01.2009 08:00:00 +01:00;24303;21984
05.01.2009 09:00:00 +01:00;23898;21756
05.01.2009 10:00:00 +01:00;23488;21585
05.01.2009 11:00:00 +01:00;23418;21352
05.01.2009 12:00:00 +01:00;23499;21172
05.01.2009 13:00:00 +01:00;23272;21059
05.01.2009 14:00:00 +01:00;23248;21169
05.01.2009 15:00:00 +01:00;23290;21371
05.01.2009 16:00:00 +01:00;23735;21621
05.01.2009 17:00:00 +01:00;23723;21428
05.01.2009 18:00:00 +01:00;23409;21103
05.01.2009 19:00:00 +01:00;23449;20889
05.01.2009 20:00:00 +01:00;22743;20467
05.01.2009 21:00:00 +01:00;22572;20082
05.01.2009 22:00:00 +01:00;21659;19473
05.01.2009 23:00:00 +01:00;20145;18401
06.01.2009 00:00:00 +01:00;18450;17506
06.01.2009 01:00:00 +01:00;16785;17102
06.01.2009 02:00:00 +01:00;15727;17014
06.01.2009 03:00:00 +01:00;15082;16888
06.01.2009 04:00:00 +01:00;15143;17079
06.01.2009 05:00:00 +01:00;16863;17613
06.01.2009 06:00:00 +01:00;19209;18890
06.01.2009 07:00:00 +01:00;21811;20698
06.01.2009 08:00:00 +01:00;21839;21247
06.01.2009 09:00:00 +01:00;21792;20924
06.01.2009 10:00:00 +01:00;21559;20875
06.01.2009 11:00:00 +01:00;21432;20790
06.01.2009 12:00:00 +01:00;21277;20652
06.01.2009 13:00:00 +01:00;20681;20438
06.01.2009 14:00:00 +01:00;20280;20352
06.01.2009 15:00:00 +01:00;20892;20340
06.01.2009 16:00:00 +01:00;21352;20663
06.01.2009 17:00:00 +01:00;21572;20504
06.01.2009 18:00:00 +01:00;21383;20306
06.01.2009 19:00:00 +01:00;20600;20036
06.01.2009 20:00:00 +01:00;19578;19633
06.01.2009 21:00:00 +01:00;19114;19153
06.01.2009 22:00:00 +01:00;18312;18454
06.01.2009 23:00:00 +01:00;17411;17588
07.01.2009 00:00:00 +01:00;16116;16891
07.01.2009 01:00:00 +01:00;15068;16503
07.01.2009 02:00:00 +01:00;14764;16330
07.01.2009 03:00:00 +01:00;14194;16432
07.01.2009 04:00:00 +01:00;14907;16735
07.01.2009 05:00:00 +01:00;17097;17213
07.01.2009 06:00:00 +01:00;20190;18645
07.01.2009 07:00:00 +01:00;22756;20721
07.01.2009 08:00:00 +01:00;23164;21618
07.01.2009 09:00:00 +01:00;22911;21282
07.01.2009 10:00:00 +01:00;23187;21124
07.01.2009 11:00:00 +01:00;22788;20798
07.01.2009 12:00:00 +01:00;22631;20516
07.01.2009 13:00:00 +01:00;22528;20578
07.01.2009 14:00:00 +01:00;22617;20652
07.01.2009 15:00:00 +01:00;23036;20776
07.01.2009 16:00:00 +01:00;23445;21043
07.01.2009 17:00:00 +01:00;23507;21116
07.01.2009 18:00:00 +01:00;23173;20766
07.01.2009 19:00:00 +01:00;23124;20354
07.01.2009 20:00:00 +01:00;22587;20033
07.01.2009 21:00:00 +01:00;22087;19559
07.01.2009 22:00:00 +01:00;21593;18416
07.01.2009 23:00:00 +01:00;21081;17947
08.01.2009 00:00:00 +01:00;20996;17676
08.01.2009 01:00:00 +01:00;19792;17176
08.01.2009 02:00:00 +01:00;18917;16880
08.01.2009 03:00:00 +01:00;18634;16791
