index,wind_BE,wind_DE,wind_DK,wind_NL,wind_NO,wind_UK
0,0.0121,0.0434,0.3214,0.0263,0.5793,0.0695
1,0.0186,0.0555,0.3228,0.0348,0.6024,0.068
2,0.0239,0.0675,0.2958,0.0427,0.6297,0.0706
3,0.0196,0.0749,0.2581,0.0418,0.6267,0.0743
4,0.013,0.0768,0.218,0.0376,0.6093,0.0815
5,0.007,0.0772,0.1888,0.0336,0.5818,0.0884
6,0.0031,0.078,0.164,0.0317,0.5303,0.0914
7,0.002,0.076,0.1473,0.0323,0.4764,0.0884
8,0.0011,0.0694,0.141,0.0307,0.4208,0.0843
9,0.0008,0.0612,0.1244,0.0289,0.3328,0.0798
10,0.0002,0.0553,0.0953,0.0293,0.231,0.0716
11,0.0,0.0513,0.0778,0.0312,0.1579,0.06
12,0.0,0.0527,0.0693,0.0361,0.1201,0.0503
13,0.0,0.0568,0.0724,0.0422,0.1106,0.0485
14,0.0,0.0576,0.0842,0.0465,0.1194,0.0525
15,0.0,0.0521,0.105,0.0465,0.1772,0.0615
16,0.0,0.0423,0.1248,0.0419,0.2292,0.0716
17,0.0,0.0338,0.1352,0.0372,0.2724,0.0809
18,0.0,0.0274,0.1337,0.0345,0.3077,0.0896
19,0.0,0.0224,0.1188,0.033,0.3299,0.0957
20,0.0,0.0186,0.0987,0.0306,0.3407,0.0989
21,0.0,0.0178,0.0813,0.0294,0.3316,0.0976
22,0.0,0.0192,0.0649,0.0277,0.3264,0.0939
23,0.0,0.0211,0.0467,0.0248,0.3592,0.0914
24,0.0,0.0263,0.0278,0.0236,0.3895,0.0933
25,0.0002,0.0369,0.0135,0.0267,0.397,0.1008
26,0.0012,0.0576,0.007,0.037,0.3899,0.1127
27,0.0035,0.0809,0.0054,0.0523,0.3928,0.1261
28,0.0094,0.1043,0.0052,0.0725,0.3939,0.1436
29,0.02,0.1223,0.007,0.0938,0.3629,0.1703
30,0.04,0.1256,0.0111,0.1104,0.3091,0.2057
31,0.076,0.1166,0.0146,0.127,0.2399,0.244
32,0.1363,0.1014,0.0159,0.1517,0.1873,0.2825
33,0.1642,0.0867,0.01,0.1527,0.1627,0.3115
34,0.1601,0.067,0.0039,0.1365,0.1448,0.3115
35,0.1765,0.0459,0.0037,0.1352,0.1401,0.2968
36,0.2227,0.0355,0.0081,0.1519,0.1375,0.2884
37,0.278,0.0404,0.0141,0.1761,0.1385,0.2778
38,0.3287,0.0527,0.0196,0.1973,0.1465,0.2837
39,0.3843,0.0605,0.0208,0.2229,0.1863,0.2956
40,0.445,0.0579,0.0274,0.2505,0.2581,0.3102
41,0.4772,0.0476,0.0468,0.2618,0.339,0.3189
42,0.477,0.0356,0.0799,0.2577,0.4218,0.3164
43,0.4385,0.0291,0.1238,0.2326,0.5158,0.3102
44,0.3771,0.0284,0.178,0.1981,0.5836,0.2884
45,0.3177,0.0344,0.235,0.1683,0.6022,0.272
46,0.2623,0.0526,0.2804,0.1421,0.6036,0.2617
47,0.2124,0.0836,0.3331,0.1212,0.6239,0.2517
48,0.1648,0.1219,0.3883,0.1039,0.6554,0.2397
49,0.1232,0.1651,0.4492,0.0912,0.7082,0.2259
50,0.0866,0.2128,0.5079,0.0828,0.7885,0.2106
51,0.0657,0.2686,0.5678,0.0862,0.8545,0.1838
52,0.053,0.3192,0.6059,0.0954,0.8868,0.155
53,0.0393,0.3579,0.6305,0.1039,0.8872,0.1328
54,0.0275,0.3837,0.6666,0.1099,0.8664,0.1175
55,0.0184,0.4146,0.73,0.1221,0.8489,0.106
56,0.0108,0.444,0.7638,0.1355,0.8323,0.0939
57,0.0041,0.4631,0.7846,0.1457,0.792,0.0787
58,0.0001,0.4802,0.7875,0.152,0.7728,0.0605
59,0.0,0.5255,0.7872,0.1662,0.7319,0.0421
60,0.0,0.5864,0.7792,0.1832,0.6862,0.0259
61,0.0007,0.64,0.7648,0.2005,0.6485,0.0129
62,0.0079,0.6691,0.7329,0.2166,0.6169,0.0046
63,0.0223,0.7008,0.6993,0.2414,0.5881,0.0009
64,0.0408,0.7176,0.6469,0.2656,0.5561,0.0002
65,0.0614,0.7133,0.5821,0.2854,0.5217,0.0001
66,0.0781,0.6975,0.5002,0.2983,0.4733,0.0001
67,0.088,0.6522,0.4035,0.3002,0.4144,0.0003
68,0.0975,0.5844,0.301,0.2969,0.3654,0.001
69,0.1041,0.5255,0.2125,0.2903,0.3171,0.0039
70,0.1156,0.4877,0.1637,0.2904,0.27,0.0112
71,0.1499,0.4729,0.1151,0.3049,0.2373,0.0219
72,0.1954,0.474,0.0753,0.3293,0.2388,0.0331
73,0.2426,0.4736,0.054,0.3509,0.2263,0.0442
74,0.293,0.4771,0.0444,0.3767,0.2044,0.0562
75,0.3259,0.4647,0.0411,0.3881,0.1814,0.0695
76,0.3368,0.4364,0.0364,0.388,0.1596,0.0826
77,0.3394,0.4093,0.0339,0.3869,0.1497,0.0945
78,0.3378,0.3772,0.0379,0.3826,0.1519,0.1033
79,0.345,0.3419,0.046,0.3863,0.1628,0.1093
80,0.3475,0.2911,0.0558,0.3798,0.1778,0.1113
81,0.3425,0.2183,0.0614,0.3544,0.1805,0.1093
82,0.3245,0.1407,0.0665,0.3075,0.1796,0.1073
83,0.3004,0.0809,0.0787,0.2558,0.1647,0.1001
84,0.2795,0.0466,0.1013,0.2148,0.1619,0.097
85,0.2659,0.0323,0.1491,0.1886,0.1709,0.0982
86,0.2567,0.0324,0.2347,0.1715,0.1865,0.1021
87,0.2595,0.0473,0.3548,0.1688,0.1897,0.106
88,0.2766,0.0809,0.4454,0.1826,0.1726,0.1014
89,0.2909,0.1377,0.4951,0.2042,0.1522,0.0902
90,0.2997,0.2224,0.5106,0.2389,0.1331,0.0787
91,0.3134,0.3217,0.4958,0.2958,0.114,0.0624
92,0.3273,0.4108,0.4536,0.354,0.093,0.0438
93,0.332,0.4593,0.3931,0.3846,0.0787,0.0287
94,0.3329,0.4751,0.3577,0.3986,0.0712,0.0245
95,0.3371,0.4609,0.3398,0.4061,0.0665,0.0276
96,0.3415,0.4281,0.3269,0.4007,0.0604,0.0279
97,0.3301,0.3987,0.3234,0.3693,0.0553,0.0294
98,0.2612,0.383,0.3203,0.2989,0.0488,0.0405
