Node,Fuel,Value
BE,Biofuels,529.74
BE,Gas,25139.06
BE,Hydro,909.6
BE,Oil,22.23
BE,Other Non RES,2711.62
BE,Other RES,2246.59
BE,Solar,16952.07
BE,Wind Offshore,17270.3
BE,Wind Onshore,12867.150000000001
DE,Coal & Lignite,65763.82
DE,Gas,65441.38
DE,Hydro,31073.36
DE,Oil,48.23
DE,Other Non RES,56943.81
DE,Other RES,44097.46
DE,Solar,108732.07
DE,Wind Offshore,136337.79
DE,Wind Onshore,201975.6
DK,Biofuels,4042.1800000000003
DK,Gas,928.98
DK,Oil,29.9
DK,Other Non RES,250.37
DK,Other RES,512.5600000000001
DK,Solar,15642.800000000001
DK,Wind Offshore,57740.009999999995
DK,Wind Onshore,15686.02
NL,Biofuels,6782.44
NL,Gas,25131.62
NL,Hydro,123.04
NL,Nuclear,3701.34
NL,Other Non RES,2960.05
NL,Other RES,2089.1
NL,Solar,49508.53
NL,Wind Offshore,59398.97
NL,Wind Onshore,22064.25
NO,Hydro,155745.78999999998
NO,Other Non RES,1947.71
NO,Other RES,0.2
NO,Solar,124.28
NO,Wind Offshore,2108.2
NO,Wind Onshore,36985.25
UK,Biofuels,121.16
UK,Gas,31800.15
UK,Hydro,6090.599999999999
UK,Nuclear,34798.57
UK,Oil,4.9799999999999995
UK,Other Non RES,1790.76
UK,Other RES,55166.759999999995
UK,Solar,41985.63
UK,Wind Offshore,135482.83
UK,Wind Onshore,68514.18
