Node;Scenario;Fuel;Value
BE00;Distributed Energy;Biofuels;529.74
BE00;Distributed Energy;Gas;25139.06
BE00;Distributed Energy;Hydro;909.60
BE00;Distributed Energy;Oil;22.23
BE00;Distributed Energy;Other Non RES;2711.62
BE00;Distributed Energy;Other RES;2246.59
BE00;Distributed Energy;Solar;5541.00
BE00;Distributed Energy;Wind Offshore;17270.30
BE00;Distributed Energy;Wind Onshore;8840.60
BE00;Global Ambition;Biofuels;411.76
BE00;Global Ambition;Gas;18047.62
BE00;Global Ambition;Hydro;1161.06
BE00;Global Ambition;Oil;5.14
BE00;Global Ambition;Other Non RES;2010.73
BE00;Global Ambition;Other RES;2246.59
BE00;Global Ambition;Solar;3878.70
BE00;Global Ambition;Wind Offshore;21754.26
BE00;Global Ambition;Wind Onshore;8840.60
BE00;Distributed Energy;Solar;2320.09
BE00;Distributed Energy;Wind Onshore;4026.55
BE00;Global Ambition;Solar;2652.08
BE00;Global Ambition;Wind Onshore;3453.08
BE00;Distributed Energy;Solar;9090.98
BE00;Global Ambition;Solar;8293.71
DE00;Distributed Energy;Coal & Lignite;65763.82
DE00;Distributed Energy;Gas;65441.38
DE00;Distributed Energy;Hydro;31073.36
DE00;Distributed Energy;Oil;48.23
DE00;Distributed Energy;Other Non RES;56943.81
DE00;Distributed Energy;Other RES;44097.46
DE00;Distributed Energy;Solar;35840.05
DE00;Distributed Energy;Wind Offshore;136337.79
DE00;Distributed Energy;Wind Onshore;121613.44
DE00;Global Ambition;Coal & Lignite;63937.36
DE00;Global Ambition;Gas;50819.30
DE00;Global Ambition;Hydro;35993.05
DE00;Global Ambition;Oil;18.58
DE00;Global Ambition;Other Non RES;56326.11
DE00;Global Ambition;Other RES;44091.75
DE00;Global Ambition;Solar;25087.14
DE00;Global Ambition;Wind Offshore;163868.39
DE00;Global Ambition;Wind Onshore;121606.86
DE00;Distributed Energy;Solar;9386.73
DE00;Distributed Energy;Wind Onshore;80362.16
DE00;Global Ambition;Wind Onshore;60712.47
DE00;Distributed Energy;Solar;63505.29
DE00;Global Ambition;Solar;34622.37
DKE1;Distributed Energy;Biofuels;1867.72
DKE1;Distributed Energy;Gas;306.79
DKE1;Distributed Energy;Oil;23.59
DKE1;Distributed Energy;Other Non RES;62.78
DKE1;Distributed Energy;Other RES;67.64
DKE1;Distributed Energy;Solar;1614.73
DKE1;Distributed Energy;Wind Offshore;11465.81
DKE1;Distributed Energy;Wind Onshore;5948.95
DKE1;Global Ambition;Biofuels;1435.90
DKE1;Global Ambition;Gas;247.64
DKE1;Global Ambition;Oil;11.69
DKE1;Global Ambition;Other Non RES;62.31
DKE1;Global Ambition;Other RES;66.73
DKE1;Global Ambition;Solar;1122.42
DKE1;Global Ambition;Wind Offshore;16693.83
DKE1;Global Ambition;Wind Onshore;5862.28
DKE1;Distributed Energy;Solar;2183.01
DKE1;Distributed Energy;Wind Onshore;1445.22
DKE1;Global Ambition;Solar;24.49
DKE1;Global Ambition;Wind Onshore;70.12
DKE1;Distributed Energy;Solar;2526.65
DKE1;Global Ambition;Solar;698.06
DKKF;Distributed Energy;Wind Offshore;2335.82
DKKF;Global Ambition;Wind Offshore;2255.18
DKW1;Distributed Energy;Biofuels;2174.46
DKW1;Distributed Energy;Gas;622.19
DKW1;Distributed Energy;Oil;6.31
DKW1;Distributed Energy;Other Non RES;187.59
DKW1;Distributed Energy;Other RES;444.92
DKW1;Distributed Energy;Solar;2625.19
DKW1;Distributed Energy;Wind Offshore;43938.38
DKW1;Distributed Energy;Wind Onshore;6603.95
DKW1;Global Ambition;Biofuels;1170.45
DKW1;Global Ambition;Gas;362.74
DKW1;Global Ambition;Oil;1.78
DKW1;Global Ambition;Other Non RES;183.10
DKW1;Global Ambition;Other RES;431.18
DKW1;Global Ambition;Solar;1800.00
DKW1;Global Ambition;Wind Offshore;47150.88
DKW1;Global Ambition;Wind Onshore;6393.64
DKW1;Distributed Energy;Solar;2587.55
DKW1;Distributed Energy;Wind Onshore;1687.90
DKW1;Global Ambition;Solar;35.10
DKW1;Global Ambition;Wind Onshore;109.09
DKW1;Distributed Energy;Solar;4105.67
DKW1;Global Ambition;Solar;1550.45
NL00;Distributed Energy;Biofuels;6782.44
NL00;Distributed Energy;Gas;25131.62
NL00;Distributed Energy;Hydro;123.04
NL00;Distributed Energy;Nuclear;3701.34
NL00;Distributed Energy;Other Non RES;2960.05
NL00;Distributed Energy;Other RES;2089.10
NL00;Distributed Energy;Solar;22299.24
NL00;Distributed Energy;Wind Offshore;59398.97
NL00;Distributed Energy;Wind Onshore;15402.71
NL00;Global Ambition;Biofuels;5326.11
NL00;Global Ambition;Gas;19616.72
NL00;Global Ambition;Hydro;120.60
NL00;Global Ambition;Nuclear;3107.02
NL00;Global Ambition;Other Non RES;2896.41
NL00;Global Ambition;Other RES;2053.80
NL00;Global Ambition;Solar;21221.31
NL00;Global Ambition;Wind Offshore;80029.63
NL00;Global Ambition;Wind Onshore;15106.94
NL00;Distributed Energy;Solar;4656.15
NL00;Distributed Energy;Wind Onshore;6661.54
NL00;Global Ambition;Solar;4812.23
NL00;Global Ambition;Wind Onshore;5851.40
NL00;Distributed Energy;Solar;22553.14
NL00;Global Ambition;Solar;19827.51
NOM1;Distributed Energy;Hydro;25756.46
NOM1;Distributed Energy;Other Non RES;169.69
NOM1;Distributed Energy;Solar;79.05
NOM1;Distributed Energy;Wind Onshore;12934.28
NOM1;Global Ambition;Hydro;25765.39
NOM1;Global Ambition;Other Non RES;165.57
NOM1;Global Ambition;Solar;75.60
NOM1;Global Ambition;Wind Onshore;11653.95
NON1;Distributed Energy;Hydro;26961.21
NON1;Distributed Energy;Other Non RES;1342.42
NON1;Distributed Energy;Other RES;0.20
NON1;Distributed Energy;Wind Onshore;9738.78
NON1;Global Ambition;Hydro;26943.25
NON1;Global Ambition;Other Non RES;1256.47
NON1;Global Ambition;Other RES;0.18
NON1;Global Ambition;Wind Onshore;6273.12
NOS0;Distributed Energy;Hydro;103028.12
NOS0;Distributed Energy;Other Non RES;435.60
NOS0;Distributed Energy;Solar;45.23
NOS0;Distributed Energy;Wind Offshore;2108.20
NOS0;Distributed Energy;Wind Onshore;14312.19
NOS0;Global Ambition;Hydro;102840.36
NOS0;Global Ambition;Other Non RES;435.20
NOS0;Global Ambition;Solar;45.23
NOS0;Global Ambition;Wind Offshore;11523.70
NOS0;Global Ambition;Wind Onshore;12226.13
UK00;Distributed Energy;Gas;30786.13
UK00;Distributed Energy;Hydro;6040.78
UK00;Distributed Energy;Nuclear;34798.57
UK00;Distributed Energy;Oil;4.89
UK00;Distributed Energy;Other Non RES;1790.67
UK00;Distributed Energy;Other RES;38331.03
UK00;Distributed Energy;Solar;8001.47
UK00;Distributed Energy;Wind Offshore;132886.30
UK00;Distributed Energy;Wind Onshore;56472.02
UK00;Global Ambition;Gas;19905.63
UK00;Global Ambition;Hydro;7201.28
UK00;Global Ambition;Nuclear;47641.30
UK00;Global Ambition;Oil;0.51
UK00;Global Ambition;Other Non RES;1764.39
UK00;Global Ambition;Other RES;38123.23
UK00;Global Ambition;Solar;5585.00
UK00;Global Ambition;Wind Offshore;182128.69
UK00;Global Ambition;Wind Onshore;56354.17
UK00;Distributed Energy;Solar;5853.92
UK00;Distributed Energy;Wind Onshore;8805.58
UK00;Global Ambition;Solar;3658.84
UK00;Global Ambition;Wind Onshore;5437.17
UK00;Distributed Energy;Solar;27985.85
UK00;Global Ambition;Solar;18641.08
UKNI;Distributed Energy;Biofuels;121.16
UKNI;Distributed Energy;Gas;1014.02
UKNI;Distributed Energy;Hydro;49.82
UKNI;Distributed Energy;Oil;0.09
UKNI;Distributed Energy;Other Non RES;0.09
UKNI;Distributed Energy;Other RES;16835.73
UKNI;Distributed Energy;Solar;74.79
UKNI;Distributed Energy;Wind Offshore;2596.53
UKNI;Distributed Energy;Wind Onshore;3236.58
UKNI;Global Ambition;Biofuels;94.17
UKNI;Global Ambition;Gas;650.53
UKNI;Global Ambition;Hydro;42.88
UKNI;Global Ambition;Other Non RES;0.09
UKNI;Global Ambition;Other RES;16049.51
UKNI;Global Ambition;Solar;47.38
UKNI;Global Ambition;Wind Offshore;3250.03
UKNI;Global Ambition;Wind Onshore;2866.04
UKNI;Global Ambition;Solar;6.95
UKNI;Global Ambition;Wind Onshore;44.15
UKNI;Distributed Energy;Solar;69.60
UKNI;Global Ambition;Solar;18.92
