,2030
0,44923948.3456739
1,43731554.83894353
2,0.0
3,0.0
4,1280071038.0475984
5,640035519.0237992
6,0.0
7,40431553.511106506
8,13477184.503702167
9,174926219.3557742
10,87463109.6778871
11,1280071038.0475984
12,0.0
13,44923948.3456739
14,393583993.550492
15,1920106557.0713978
16,31446763.841971725
17,4492394.834567389
18,87463109.6778871
19,87463109.6778871
20,0.0
21,22461974.17283695
22,87463109.6778871
23,640035519.0237992
24,44923948.3456739
25,44923948.3456739
26,218657774.19471776
27,262389329.0336613
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,12993428.366103236
39,0.0
40,12993428.366103236
41,0.0
42,12993428.366103236
43,12993428.366103236
44,12993428.366103236
45,0.0
46,0.0
47,43731554.83894355
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,12993428.366103236
57,12993428.366103236
58,12993428.366103236
59,12993428.366103236
60,43731554.83894355
61,0.0
62,0.0
63,0.0
64,0.0
65,43731554.83894355
66,12993428.366103236
67,12993428.366103236
68,12993428.366103236
69,12993428.366103236
70,25986856.73220647
71,43731554.83894355
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,38980285.0983097
79,25986856.73220647
80,0.0
81,0.0
82,0.0
83,0.0
84,43731554.83894355
