,2030
0,44923948.3456739
1,87463109.6778871
2,0.0
3,0.0
4,1242267180.5380354
5,3821384932.5168967
6,1280071038.0475976
7,44923948.3456739
8,44923948.3456739
9,131194664.5168304
10,174926219.3557742
11,1920106557.0713978
12,0.0
13,44923948.3456739
14,437315548.3894355
15,1920106557.0713978
16,44923948.3456739
17,17969579.338269554
18,218657774.19471776
19,131194664.51683065
20,1280071038.0475984
21,35939158.676539116
22,87463109.6778871
23,1175131662.7799191
24,44923948.3456739
25,44923948.3456739
26,393583993.550492
27,393583993.550492
28,0.0
29,0.0
30,0.0
31,0.0
32,12993428.366103236
33,12993428.366103236
34,51973713.46441294
35,0.0
36,25986856.73220647
37,25986856.73220647
38,12993428.366103236
39,12993428.366103236
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
