,2030
0,44923948.3456739
1,43731554.83894355
2,0.0
3,0.0
4,2560142076.0951967
5,2560142076.0951967
6,0.0
7,17969579.338269558
8,44923948.3456739
9,131194664.51683065
10,43731554.83894348
11,1920106557.0713978
12,0.0
13,44923948.3456739
14,306120883.87260485
15,1920106557.0713978
16,44923948.3456739
17,44923948.3456739
18,131194664.51683065
19,87463109.6778871
20,640035519.0237992
21,44923948.3456739
22,131194664.51683065
23,1280071038.0475984
24,44923948.3456739
25,44923948.3456739
26,262389329.0336613
27,262389329.0336613
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,12993428.366103236
36,0.0
37,25986856.73220647
38,0.0
39,12993428.366103236
40,0.0
41,0.0
42,25986856.73220647
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,25986856.73220647
54,0.0
55,12993428.366103236
56,43731554.83894355
57,0.0
58,0.0
59,0.0
60,0.0
61,87463109.6778871
62,12993428.366103236
63,12993428.366103236
64,0.0
65,38980285.0983097
66,0.0
67,0.0
68,43731554.83894355
69,0.0
70,0.0
71,0.0
